vertex_id,tcad_coord0_um,tcad_coord1_um,mapped_lateral_um,mapped_depth_um,optical_generation_cm^-3_s^-1
0,3.125,3.125,-196.875,3.125,0.0
1,3.125,-0.0,-200.0,3.125,0.0
2,-0.0,3.125,-196.875,0.0,0.0
3,3.125,6.25,-193.75,3.125,0.0
4,-0.0,6.25,-193.75,0.0,0.0
5,6.25,3.125,-196.875,6.25,0.0
6,6.25,-0.0,-200.0,6.25,0.0
7,6.25,6.25,-193.75,6.25,0.0
8,3.125,9.375,-190.625,3.125,0.0
9,-0.0,9.375,-190.625,0.0,0.0
10,3.125,12.5,-187.5,3.125,0.0
11,-0.0,12.5,-187.5,0.0,0.0
12,6.25,9.375,-190.625,6.25,0.0
13,6.25,12.5,-187.5,6.25,0.0
14,9.375,3.125,-196.875,9.375,0.0
15,9.375,-0.0,-200.0,9.375,0.0
16,9.375,6.25,-193.75,9.375,0.0
17,12.5,3.125,-196.875,12.5,0.0
18,12.5,-0.0,-200.0,12.5,0.0
19,12.5,6.25,-193.75,12.5,0.0
20,9.375,9.375,-190.625,9.375,0.0
21,9.375,12.5,-187.5,9.375,0.0
22,12.5,9.375,-190.625,12.5,0.0
23,12.5,12.5,-187.5,12.5,0.0
24,3.125,15.625,-184.375,3.125,0.0
25,-0.0,15.625,-184.375,0.0,0.0
26,3.125,18.75,-181.25,3.125,15977442953101.006
27,-0.0,18.75,-181.25,0.0,0.0
28,6.25,15.625,-184.375,6.25,0.0
29,6.25,18.75,-181.25,6.25,0.0
30,3.125,21.875,-178.125,3.125,0.0
31,-0.0,21.875,-178.125,0.0,0.0
32,3.125,25.0,-175.0,3.125,0.0
33,-0.0,25.0,-175.0,0.0,0.0
34,6.25,21.875,-178.125,6.25,0.0
35,6.25,25.0,-175.0,6.25,0.0
36,9.375,15.625,-184.375,9.375,29287255842571.203
37,9.375,18.75,-181.25,9.375,0.0
38,12.5,15.625,-184.375,12.5,0.0
39,12.5,18.75,-181.25,12.5,0.0
40,9.375,21.875,-178.125,9.375,0.0
41,9.375,25.0,-175.0,9.375,0.0
42,12.5,21.875,-178.125,12.5,0.0
43,12.5,25.0,-175.0,12.5,0.0
44,15.625,3.125,-196.875,15.625,0.0
45,15.625,-0.0,-200.0,15.625,0.0
46,15.625,6.25,-193.75,15.625,0.0
47,18.75,3.125,-196.875,18.75,0.0
48,18.75,-0.0,-200.0,18.75,0.0
49,18.75,6.25,-193.75,18.75,0.0
50,15.625,9.375,-190.625,15.625,0.0
51,15.625,12.5,-187.5,15.625,0.0
52,18.75,9.375,-190.625,18.75,0.0
53,18.75,12.5,-187.5,18.75,0.0
54,21.875,3.125,-196.875,21.875,0.0
