source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
20kev,20 keV,10.0,0,True,True,,73.84359920323044,2.828584751352,9.899362245999999e-05,3.4997580472949686e-05,6
20kev,20 keV,10.0,1e11,True,True,,73.84261511496427,2.8285693792072,9.99345884e-05,3.533043563810691e-05,6
20kev,20 keV,10.0,1e12,True,True,,73.83735682441478,2.8284226985242,0.00010005097744,3.5373417662149334e-05,6
20kev,20 keV,10.0,1e13,True,True,,73.77992120579239,2.8259897132858,0.00010162882423,3.5962206002454053e-05,6
20kev,20 keV,10.0,5e13,True,True,,73.54348782795945,2.802741360528,0.00014077980199999997,5.0229323327029677e-05,6
20kev,20 keV,20.0,0,True,True,,73.92645494845534,2.5112530200992,4.50450712e-05,1.7937289010495892e-05,6
20kev,20 keV,20.0,1e11,True,True,,73.92453059845518,2.5102839535508,4.515731052000001e-05,1.7988925299118025e-05,6
20kev,20 keV,20.0,1e12,True,True,,73.90774327550658,2.5018313428192,4.60082913e-05,1.838984527556336e-05,6
20kev,20 keV,20.0,1e13,True,True,,73.75071999248162,2.3884977280278004,5.364269869999999e-05,2.2458760613640252e-05,6
20kev,20 keV,20.0,5e13,True,True,,72.90444724309052,1.8830341012446004,4.29890254e-05,2.2829658460027996e-05,6
20kev,20 keV,30.0,0,True,True,,73.9331629150994,2.20703696275382,3.670964868e-05,1.6633001304244447e-05,6
20kev,20 keV,30.0,1e11,True,True,,73.93076361811084,2.2051647559679,3.541294697e-05,1.6059093486852144e-05,6
20kev,20 keV,30.0,1e12,True,True,,73.90631940149062,2.18663865584922,3.643340805000001e-05,1.666183297022637e-05,6
20kev,20 keV,30.0,1e13,True,True,,73.66944627216262,1.9461326592621997,4.30523368e-05,2.2121994919052238e-05,6
20kev,20 keV,30.0,5e13,True,True,,71.32637017982357,1.4401496483362002,3.70605278e-05,2.5733803318853633e-05,6
20kev,20 keV,40.0,0,True,True,,73.8061399163401,1.92579285172336,2.2477519540000006e-05,1.1671826240234117e-05,6
20kev,20 keV,40.0,1e11,True,True,,73.80258160320179,1.92396613083586,2.2304967040000007e-05,1.159322229352847e-05,6
