thickness_um,reverse_bias_v,capacitance_f,one_over_c2_f_minus2,analytical_vdep_v
120,0,4.141922800000e-14,5.829026102339e+26,75.2160379594
120,2.5,4.130777300000e-14,5.860523833613e+26,75.2160379594
120,5,4.126217000000e-14,5.873485108069e+26,75.2160379594
120,7.5,4.123256300000e-14,5.881923036442e+26,75.2160379594
120,10,4.121115700000e-14,5.888035029093e+26,75.2160379594
120,12.5,4.119468800000e-14,5.892743861089e+26,75.2160379594
120,15,4.118154300000e-14,5.896506346654e+26,75.2160379594
120,17.5,4.117079400000e-14,5.899585705320e+26,75.2160379594
120,20,4.116183900000e-14,5.902152963640e+26,75.2160379594
120,22.5,4.115425300000e-14,5.904329062376e+26,75.2160379594
120,25,4.114773000000e-14,5.906201194385e+26,75.2160379594
120,27.5,4.114204400000e-14,5.907833829877e+26,75.2160379594
120,30,4.113703400000e-14,5.909272924871e+26,75.2160379594
120,32.5,4.113257700000e-14,5.910553615665e+26,75.2160379594
120,35,4.112858400000e-14,5.911701332603e+26,75.2160379594
120,37.5,4.112498500000e-14,5.912736087708e+26,75.2160379594
120,40,4.112172500000e-14,5.913673610815e+26,75.2160379594
120,42.5,4.111875900000e-14,5.914526778029e+26,75.2160379594
120,45,4.111605000000e-14,5.915306180762e+26,75.2160379594
120,47.5,4.111356600000e-14,5.916020984456e+26,75.2160379594
120,50,4.111128000000e-14,5.916678925536e+26,75.2160379594
120,52.5,4.110916900000e-14,5.917286596778e+26,75.2160379594
120,55,4.110721300000e-14,5.917849733372e+26,75.2160379594
120,57.5,4.110539300000e-14,5.918373787476e+26,75.2160379594
120,60,4.110369500000e-14,5.918862775450e+26,75.2160379594
120,62.5,4.110210600000e-14,5.919320428629e+26,75.2160379594
120,65,4.110061400000e-14,5.919750192836e+26,75.2160379594
120,67.5,4.109920900000e-14,5.920154939856e+26,75.2160379594
120,70,4.109788300000e-14,5.920536966935e+26,75.2160379594
120,72.5,4.109662900000e-14,5.920898284483e+26,75.2160379594
120,75,4.109544000000e-14,5.921240904000e+26,75.2160379594
120,77.5,4.109431100000e-14,5.921566261582e+26,75.2160379594
120,80,4.109323700000e-14,5.921875794037e+26,75.2160379594
120,82.5,4.109221400000e-14,5.922170650593e+26,75.2160379594
120,85,4.109123700000e-14,5.922452269251e+26,75.2160379594
120,87.5,4.109030400000e-14,5.922721223732e+26,75.2160379594
120,90,4.108941200000e-14,5.922978376338e+26,75.2160379594
120,92.5,4.108855800000e-14,5.923224589704e+26,75.2160379594
120,95,4.108774000000e-14,5.923460438449e+26,75.2160379594
120,97.5,4.108695500000e-14,5.923686785758e+26,75.2160379594
120,100,4.108620100000e-14,5.923904206728e+26,75.2160379594
120,102.5,4.108547700000e-14,5.924112988260e+26,75.2160379594
120,105,4.108478100000e-14,5.924313705775e+26,75.2160379594
120,107.5,4.108411100000e-14,5.924506934858e+26,75.2160379594
120,110,4.108346700000e-14,5.924692674410e+26,75.2160379594
120,112.5,4.108284600000e-14,5.924871788678e+26,75.2160379594
120,115,4.108224800000e-14,5.925044276762e+26,75.2160379594
120,117.5,4.108167100000e-14,5.925210714712e+26,75.2160379594
120,120,4.108111400000e-14,5.925371390235e+26,75.2160379594
120,122.5,4.108057600000e-14,5.925526591111e+26,75.2160379594
120,125,4.108005700000e-14,5.925676316693e+26,75.2160379594
120,127.5,4.107955500000e-14,5.925821143369e+26,75.2160379594
120,130,4.107907000000e-14,5.925961070598e+26,75.2160379594
120,132.5,4.107860100000e-14,5.926096386385e+26,75.2160379594
120,135,4.107814700000e-14,5.926227378789e+26,75.2160379594
120,137.5,4.107770700000e-14,5.926354335925e+26,75.2160379594
120,140,4.107728100000e-14,5.926477257403e+26,75.2160379594
120,142.5,4.107686800000e-14,5.926596431406e+26,75.2160379594
120,145,4.107646700000e-14,5.926712146167e+26,75.2160379594
120,147.5,4.107607900000e-14,5.926824112802e+26,75.2160379594
120,150,4.107570200000e-14,5.926932908164e+26,75.2160379594
120,152.5,4.107533600000e-14,5.927038531992e+26,75.2160379594
120,155,4.107498100000e-14,5.927140984031e+26,75.2160379594
120,157.5,4.107463500000e-14,5.927240841250e+26,75.2160379594
120,160,4.107430000000e-14,5.927337526223e+26,75.2160379594
120,162.5,4.107397400000e-14,5.927431615959e+26,75.2160379594
120,165,4.107365600000e-14,5.927523398904e+26,75.2160379594
120,167.5,4.107334700000e-14,5.927612586261e+26,75.2160379594
120,170,4.107304700000e-14,5.927699177853e+26,75.2160379594
120,172.5,4.107275400000e-14,5.927783750806e+26,75.2160379594
120,175,4.107246900000e-14,5.927866016337e+26,75.2160379594
120,177.5,4.107219100000e-14,5.927946262961e+26,75.2160379594
120,180,4.107192100000e-14,5.928024201889e+26,75.2160379594
120,182.5,4.107165700000e-14,5.928100410327e+26,75.2160379594
120,185,4.107139900000e-14,5.928174888176e+26,75.2160379594
120,187.5,4.107114800000e-14,5.928247346654e+26,75.2160379594
120,190,4.107090300000e-14,5.928318074338e+26,75.2160379594
120,192.5,4.107066400000e-14,5.928387071136e+26,75.2160379594
120,195,4.107043000000e-14,5.928454625652e+26,75.2160379594
120,197.5,4.107020200000e-14,5.928520449113e+26,75.2160379594
120,200,4.106997900000e-14,5.928584830137e+26,75.2160379594
120,202.5,4.106976100000e-14,5.928647768654e+26,75.2160379594
120,205,4.106954800000e-14,5.928709264595e+26,75.2160379594
120,207.5,4.106934000000e-14,5.928769317892e+26,75.2160379594
120,210,4.106913600000e-14,5.928828217205e+26,75.2160379594
120,212.5,4.106893700000e-14,5.928885673753e+26,75.2160379594
120,215,4.106874200000e-14,5.928941976206e+26,75.2160379594
120,217.5,4.106855100000e-14,5.928997124514e+26,75.2160379594
120,220,4.106836400000e-14,5.929051118629e+26,75.2160379594
120,222.5,4.106818100000e-14,5.929103958504e+26,75.2160379594
120,225,4.106800200000e-14,5.929155644092e+26,75.2160379594
120,227.5,4.106782600000e-14,5.929206464100e+26,75.2160379594
120,230,4.106765400000e-14,5.929256129740e+26,75.2160379594
120,232.5,4.106748600000e-14,5.929304640967e+26,75.2160379594
120,235,4.106732100000e-14,5.929352286501e+26,75.2160379594
120,237.5,4.106715900000e-14,5.929399066312e+26,75.2160379594
120,240,4.106700000000e-14,5.929444980368e+26,75.2160379594
120,242.5,4.106684400000e-14,5.929490028640e+26,75.2160379594
120,245,4.106669100000e-14,5.929534211098e+26,75.2160379594
120,247.5,4.106654100000e-14,5.929577527712e+26,75.2160379594
120,250,4.106639300000e-14,5.929620267236e+26,75.2160379594
120,252.5,4.106624900000e-14,5.929661852082e+26,75.2160379594
120,255,4.106610700000e-14,5.929702859789e+26,75.2160379594
120,257.5,4.106596700000e-14,5.929743290339e+26,75.2160379594
120,260,4.106583100000e-14,5.929782566126e+26,75.2160379594
120,262.5,4.106569600000e-14,5.929821553507e+26,75.2160379594
120,265,4.106556400000e-14,5.929859674873e+26,75.2160379594
120,267.5,4.106543400000e-14,5.929897219002e+26,75.2160379594
120,270,4.106530600000e-14,5.929934185878e+26,75.2160379594
120,272.5,4.106518100000e-14,5.929970286676e+26,75.2160379594
120,275,4.106505800000e-14,5.930005810183e+26,75.2160379594
120,277.5,4.106493600000e-14,5.930041045196e+26,75.2160379594
120,280,4.106481700000e-14,5.930075414077e+26,75.2160379594
120,282.5,4.106470000000e-14,5.930109205621e+26,75.2160379594
120,285,4.106458400000e-14,5.930142708634e+26,75.2160379594
120,287.5,4.106447100000e-14,5.930175345463e+26,75.2160379594
120,290,4.106435900000e-14,5.930207693735e+26,75.2160379594
120,292.5,4.106424900000e-14,5.930239464618e+26,75.2160379594
120,295,4.106414100000e-14,5.930270658097e+26,75.2160379594
120,297.5,4.106403400000e-14,5.930301562990e+26,75.2160379594
120,300,4.106392900000e-14,5.930331890456e+26,75.2160379594
