c(N_anode:N_anode)(20_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(20_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(40_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(40_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(70_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(70_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(100_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(100_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(120_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(120_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(130_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(130_Nt1e13_cv_ac_des) Y
0,2.5566809e-13,0,1.2638302e-13,0,7.1504765e-14,0,4.9796055e-14,0,4.1419228e-14,0,3.8208256e-14
2.5,2.5051483e-13,2.5,1.2475825e-13,2.5,7.1023385e-14,2.5,4.9613543e-14,2.5,4.1307773e-14,2.5,3.8117214e-14
5,2.4916238e-13,5,1.2430009e-13,5,7.0872167e-14,5,4.9543683e-14,5,4.126217e-14,5,3.8078479e-14
7.5,2.4845542e-13,7.5,1.2406681e-13,7.5,7.078446e-14,7.5,4.9500283e-14,7.5,4.1232563e-14,7.5,3.805289e-14
10,2.4801876e-13,10,1.2391706e-13,10,7.0725549e-14,10,4.9469936e-14,10,4.1211157e-14,10,3.8034431e-14
12.5,2.477228e-13,12.5,1.2380907e-13,12.5,7.0682392e-14,12.5,4.944704e-14,12.5,4.1194688e-14,12.5,3.802037e-14
15,2.4750911e-13,15,1.2372707e-13,15,7.0649077e-14,15,4.9428919e-14,15,4.1181543e-14,15,3.8009232e-14
17.5,2.4734746e-13,17.5,1.236628e-13,17.5,7.0622492e-14,17.5,4.9414171e-14,17.5,4.1170794e-14,17.5,3.8000137e-14
20,2.4722071e-13,20,1.2361112e-13,20,7.0600759e-14,20,4.9401965e-14,20,4.1161839e-14,20,3.7992525e-14
22.5,2.4711849e-13,22.5,1.2356866e-13,22.5,7.0582638e-14,22.5,4.9391737e-14,22.5,4.1154253e-14,22.5,3.7986029e-14
25,2.4703424e-13,25,1.2353317e-13,25,7.0567271e-14,25,4.9383066e-14,25,4.114773e-14,25,3.7980397e-14
27.5,2.4696357e-13,27.5,1.2350306e-13,27.5,7.055405e-14,27.5,4.9375625e-14,27.5,4.1142044e-14,27.5,3.7975455e-14
30,2.4690343e-13,30,1.234772e-13,30,7.0542538e-14,30,4.9369158e-14,30,4.1137034e-14,30,3.7971077e-14
32.5,2.4685163e-13,32.5,1.2345475e-13,32.5,7.0532413e-14,32.5,4.9363466e-14,32.5,4.1132577e-14,32.5,3.7967169e-14
35,2.4680653e-13,35,1.2343507e-13,35,7.0523431e-14,35,4.9358398e-14,35,4.1128584e-14,35,3.7963658e-14
37.5,2.4676691e-13,37.5,1.2341767e-13,37.5,7.0515405e-14,37.5,4.9353838e-14,37.5,4.1124985e-14,37.5,3.7960487e-14
40,2.467318e-13,40,1.2340217e-13,40,7.0508187e-14,40,4.93497e-14,40,4.1121725e-14,40,3.7957609e-14
42.5,2.4670048e-13,42.5,1.2338826e-13,42.5,7.050166e-14,42.5,4.9345918e-14,42.5,4.1118759e-14,42.5,3.7954984e-14
45,2.4667234e-13,45,1.2337572e-13,45,7.0495725e-14,45,4.9342442e-14,45,4.111605e-14,45,3.795258e-14
47.5,2.4664692e-13,47.5,1.2336433e-13,47.5,7.0490305e-14,47.5,4.9339231e-14,47.5,4.1113566e-14,47.5,3.7950369e-14
