nt,design_source,actual_source,design_thickness_um,actual_optimal_thickness_um,actual_cce_at_design_percent,actual_optimal_cce_percent,cce_loss_percent_point
0,20kev,20kev,110.0,110.0,74.2408375459078,74.2408375459078,0.0
0,20kev,49kev,110.0,130.0,97.73569642256456,97.7414461547735,0.005749732208940372
0,20kev,100kev,110.0,120.0,99.30005014014127,99.41308917154784,0.11303903140657212
0,20kev,156p5kev,110.0,120.0,99.45073877982655,99.60827788396,0.1575391041334484
0,20kev,c14,110.0,100.0,97.71074364058856,97.78607460468567,0.07533096409710538
0,49kev,20kev,130.0,110.0,73.95998204950294,74.2408375459078,0.28085549640485397
0,49kev,49kev,130.0,130.0,97.7414461547735,97.7414461547735,0.0
0,49kev,100kev,130.0,120.0,99.3749161347945,99.41308917154784,0.038173036753335055
0,49kev,156p5kev,130.0,120.0,99.60375397057433,99.60827788396,0.004523913385668266
0,49kev,c14,130.0,100.0,97.73783407561146,97.78607460468567,0.048240529074206506
0,100kev,20kev,120.0,110.0,73.99819867165816,74.2408375459078,0.2426388742496357
0,100kev,49kev,120.0,130.0,97.73484961490429,97.7414461547735,0.006596539869207163
0,100kev,100kev,120.0,120.0,99.41308917154784,99.41308917154784,0.0
0,100kev,156p5kev,120.0,120.0,99.60827788396,99.60827788396,0.0
0,100kev,c14,120.0,100.0,97.7120780488379,97.78607460468567,0.07399655584777065
0,156p5kev,20kev,120.0,110.0,73.99819867165816,74.2408375459078,0.2426388742496357
0,156p5kev,49kev,120.0,130.0,97.73484961490429,97.7414461547735,0.006596539869207163
0,156p5kev,100kev,120.0,120.0,99.41308917154784,99.41308917154784,0.0
0,156p5kev,156p5kev,120.0,120.0,99.60827788396,99.60827788396,0.0
0,156p5kev,c14,120.0,100.0,97.7120780488379,97.78607460468567,0.07399655584777065
0,c14,20kev,100.0,110.0,73.85584787185672,74.2408375459078,0.3849896740510701
0,c14,49kev,100.0,130.0,97.68778472113323,97.7414461547735,0.053661433640272094
0,c14,100kev,100.0,120.0,99.35795157385289,99.41308917154784,0.05513759769495152
0,c14,156p5kev,100.0,120.0,99.00599500407262,99.60827788396,0.6022828798873832
0,c14,c14,100.0,100.0,97.78607460468567,97.78607460468567,0.0
1e11,20kev,20kev,110.0,110.0,74.23554849896223,74.23554849896223,0.0
1e11,20kev,49kev,110.0,130.0,97.72819332236486,97.73357263100942,0.005379308644563707
1e11,20kev,100kev,110.0,120.0,99.29395567329848,99.40499581611047,0.11104014281198715
1e11,20kev,156p5kev,110.0,120.0,99.43579961063408,99.60101520726603,0.16521559663195262
1e11,20kev,c14,110.0,100.0,97.70422696311768,97.77991573228776,0.07568876917008538
1e11,49kev,20kev,130.0,110.0,73.95371731661992,74.23554849896223,0.28183118234231586
1e11,49kev,49kev,130.0,130.0,97.73357263100942,97.73357263100942,0.0
1e11,49kev,100kev,130.0,120.0,99.36835025440452,99.40499581611047,0.0366455617059529
1e11,49kev,156p5kev,130.0,120.0,99.59821246282728,99.60101520726603,0.0028027444387532796
1e11,49kev,c14,130.0,100.0,97.73073403114019,97.77991573228776,0.049181701147574586
1e11,100kev,20kev,120.0,110.0,73.99247742455483,74.23554849896223,0.24307107440739628
1e11,100kev,49kev,120.0,130.0,97.6742301239403,97.73357263100942,0.059342507069118255
1e11,100kev,100kev,120.0,120.0,99.40499581611047,99.40499581611047,0.0
1e11,100kev,156p5kev,120.0,120.0,99.60101520726603,99.60101520726603,0.0
1e11,100kev,c14,120.0,100.0,97.70524577918658,97.77991573228776,0.07466995310117852
1e11,156p5kev,20kev,120.0,110.0,73.99247742455483,74.23554849896223,0.24307107440739628
1e11,156p5kev,49kev,120.0,130.0,97.6742301239403,97.73357263100942,0.059342507069118255
1e11,156p5kev,100kev,120.0,120.0,99.40499581611047,99.40499581611047,0.0
1e11,156p5kev,156p5kev,120.0,120.0,99.60101520726603,99.60101520726603,0.0
1e11,156p5kev,c14,120.0,100.0,97.70524577918658,97.77991573228776,0.07466995310117852
1e11,c14,20kev,100.0,110.0,73.85022989381117,74.23554849896223,0.3853186051510562
1e11,c14,49kev,100.0,130.0,97.68073266638457,97.73357263100942,0.05283996462485163
1e11,c14,100kev,100.0,120.0,99.35219746204488,99.40499581611047,0.05279835406558675
1e11,c14,156p5kev,100.0,120.0,98.96978496984096,99.60101520726603,0.631230237425072
1e11,c14,c14,100.0,100.0,97.77991573228776,97.77991573228776,0.0
1e12,20kev,20kev,110.0,110.0,74.18568138501807,74.18568138501807,0.0
1e12,20kev,49kev,110.0,130.0,97.66257473774948,97.66645944510726,0.003884707357784123
1e12,20kev,100kev,110.0,120.0,99.23976418418158,99.34851682206947,0.10875263788788914
1e12,20kev,156p5kev,110.0,130.0,99.26110543752033,99.54666141670057,0.2855559791802449
1e12,20kev,c14,110.0,100.0,97.64654073336128,97.72369658970192,0.0771558563406387
1e12,49kev,20kev,130.0,110.0,73.90138354029764,74.18568138501807,0.2842978447204274
1e12,49kev,49kev,130.0,130.0,97.66645944510726,97.66645944510726,0.0
1e12,49kev,100kev,130.0,120.0,99.309865839823,99.34851682206947,0.038650982246466015
1e12,49kev,156p5kev,130.0,130.0,99.54666141670057,99.54666141670057,0.0
1e12,49kev,c14,130.0,100.0,97.66867803882755,97.72369658970192,0.055018550874365246
1e12,100kev,20kev,120.0,110.0,73.94105366697887,74.18568138501807,0.24462771803919736
1e12,100kev,49kev,120.0,130.0,97.60720317643619,97.66645944510726,0.059256268671077805
1e12,100kev,100kev,120.0,120.0,99.34851682206947,99.34851682206947,0.0
1e12,100kev,156p5kev,120.0,130.0,99.52281122614437,99.54666141670057,0.023850190556203188
1e12,100kev,c14,120.0,100.0,97.64525549542853,97.72369658970192,0.07844109427338708
1e12,156p5kev,20kev,130.0,110.0,73.90138354029764,74.18568138501807,0.2842978447204274
1e12,156p5kev,49kev,130.0,130.0,97.66645944510726,97.66645944510726,0.0
