source,source_label,thickness_um,bias_v,nt,trap_density_cm3,node,q_col_c,q_pos_c,q_neg_c,q_gen_c,cce_percent,cce_pos_percent,cce_neg_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,qc_pass,qc_reason,deposited_energy_ev,generated_pairs,collapsed_thickness_um,raw_points,unique_points,dropped_initial_points
20kev,20 keV,110.0,63.0,0,0.0,64,2.798906514116075e-16,2.7991276902894836e-16,2.2117617340835012e-20,3.770036285468001e-16,74.2408375459078,74.2467042314424,0.0058666855345901265,1.5516436732398802,2.1667204920000003e-05,1.3964033942637233e-05,True,,18353.9582357,2353.0715686794874,90.0,413,407,6
20kev,20 keV,110.0,63.0,1e12,1000000000000.0,118,2.7968271068368617e-16,2.7970075180495004e-16,1.804112126392703e-20,3.770036285468001e-16,74.18568138501807,74.19046678226569,0.004785397247625552,1.57380158091448,2.1906896379999998e-05,1.3919732096895391e-05,True,,18353.9582357,2353.0715686794874,90.0,413,407,6
20kev,20 keV,8.0,0.33,1e13,10000000000000.0,165,2.7854568610262683e-16,2.787367755244811e-16,1.9108942185426236e-19,3.770036285468001e-16,73.88408625569741,73.9347726171499,0.05068636145249756,2.8643414709551998,0.000134172342953,4.6842300163414614e-05,True,,18353.9582357,2353.0715686794874,90.0,413,407,6
20kev,20 keV,8.0,0.33,2.5e13,25000000000000.0,166,2.7832113928427084e-16,2.7851332398992776e-16,1.921847056569219e-19,3.770036285468001e-16,73.82452533867878,73.87550222354265,0.05097688486387199,2.8634433052144,0.00013558294106999998,4.7349616045514206e-05,True,,18353.9582357,2353.0715686794874,90.0,413,407,6
20kev,20 keV,5.0,0.13,5e13,50000000000000.0,156,2.7815964583649916e-16,2.7843525819601366e-16,2.756123595145447e-19,3.770036285468001e-16,73.78168929267196,73.85479531570333,0.07310602303137542,2.8782357874944,0.0001986156464,6.900603740074455e-05,True,,18353.9582357,2353.0715686794874,90.0,413,407,6
49kev,49 keV,130.0,88.0,0,0.0,66,9.091033906106786e-16,9.091036286633758e-16,2.38052697279693e-22,9.301104356192092e-16,97.7414461547735,97.74147174879847,2.5594024984916167e-05,2.49152169635928,2.251077612e-05,9.034950870744463e-06,True,,45281.283248509986,5805.292724167947,180.0,311,305,6
49kev,49 keV,130.0,88.0,1e12,1000000000000.0,120,9.084059313987455e-16,9.084087988105714e-16,2.8674118258377894e-21,9.301104356192092e-16,97.66645944510726,97.66676773235103,0.0003082872437538932,2.53542067797474,2.3273968959999997e-05,9.179529520359883e-06,True,,45281.283248509986,5805.292724167947,180.0,413,407,6
49kev,49 keV,20.0,2.0,1e13,10000000000000.0,122,9.066405399039078e-16,9.067358581783845e-16,9.531827447689352e-20,9.301104356192092e-16,97.47665494155254,97.4869030014416,0.010248059889085816,3.4998786590699997,6.796486365e-05,1.941920571270887e-05,True,,45281.283248509986,5805.292724167947,180.0,413,407,6
49kev,49 keV,20.0,2.0,2.5e13,25000000000000.0,187,9.04141671816652e-16,9.041910132968363e-16,4.9341480184179534e-20,9.301104356192092e-16,97.20799135155721,97.21329625711408,0.005304905556868746,3.2101286745968003,6.447352159000001e-05,2.0084404123799813e-05,True,,45281.283248509986,5805.292724167947,180.0,413,407,6
49kev,49 keV,20.0,2.0,5e13,50000000000000.0,135,8.98391014903804e-16,8.983914781906725e-16,4.632868686673502e-22,9.301104356192092e-16,96.58971456499265,96.58976437487016,4.980987750760187e-05,2.7606470413696003,4.215664839999999e-05,1.5270568011144743e-05,True,,45281.283248509986,5805.292724167947,180.0,413,407,6
100kev,100 keV,120.0,75.0,0,0.0,65,1.8967993945712917e-15,1.896832266958817e-15,3.287238752562884e-20,1.9079976393230906e-15,99.41308917154784,99.41481204514307,0.0017228735952362676,3.903287777588,3.5647551e-05,9.132698645660215e-06,True,,92888.51972310132,11908.784579884785,240.00000000000003,413,407,6
100kev,100 keV,120.0,75.0,1e12,1000000000000.0,119,1.8955673556675888e-15,1.895611363131328e-15,4.4007463739237165e-20,1.9079976393230906e-15,99.34851682206947,99.35082329576902,0.0023064736995612794,3.9371777522678,4.17851598e-05,1.0612972649236346e-05,True,,92888.51972310132,11908.784579884785,240.00000000000003,413,407,6
100kev,100 keV,60.0,19.0,1e13,10000000000000.0,126,1.8582484697198195e-15,1.8582490865169574e-15,6.16797137817187e-22,1.9079976393230906e-15,97.39259794781923,97.39263027475324,3.2326934012141184e-05,2.87527511433512,4.4200690479999996e-05,1.537268216861432e-05,True,,92888.51972310132,11908.784579884785,240.00000000000003,413,407,6
100kev,100 keV,40.0,8.0,2.5e13,25000000000000.0,190,1.536640536166248e-15,1.5366409515817025e-15,4.15415454572336e-22,1.9079976393230906e-15,80.53681537632349,80.53683714864889,2.1772325395523807e-05,1.8325027240965999,2.87895594e-05,1.5710513835221107e-05,True,,92888.51972310132,11908.784579884785,240.00000000000003,413,407,6
100kev,100 keV,30.0,5.0,5e13,50000000000000.0,136,1.2758833718790668e-15,1.2758837115629256e-15,3.396838588754133e-22,1.9079976393230906e-15,66.87028042297358,66.87029822613287,1.7803159284616545e-05,1.50546150958704,2.2831864159999996e-05,1.5166023185981657e-05,True,,92888.51972310132,11908.784579884785,240.00000000000003,413,407,6
