x_um,depth_um,optical_generation_cm^-3_s^-1
-85.0,43.7,7621273.351943571
-85.0,43.9,6927024.7502153125
-85.0,44.1,3277147.5413357355
-85.0,44.3,1930358.0485533867
-85.0,44.5,1962751.288579708
-85.0,44.7,3586108.9098289255
-85.0,44.9,1353728.2077588835
-85.0,45.1,2678419.401757269
-85.0,45.3,3205837.1607888513
-85.0,45.5,2269487.743031509
-85.0,45.7,2107483.832492422
-85.0,45.9,3240229.0524116745
-85.0,46.1,2149983.461723695
-85.0,46.3,226390.66027242967
-85.0,46.5,764465.3804581894
-85.0,46.7,889588.5124806969
-85.0,46.9,1544693.711243506
-85.0,47.1,4511296.046971843
-85.0,47.3,954714.3862006699
-85.0,47.5,891926.5577445292
-85.0,47.7,738482.9097036663
-85.0,47.9,575988.7638673236
-85.0,48.1,784527.3172381695
-85.0,48.3,31036117.88188908
-85.0,48.5,8653067.811035745
-85.0,48.7,5687785.339569247
-85.0,48.9,3375760.256898984
-85.0,49.1,19187319.299269438
-85.0,49.3,25481525.70154331
-85.0,49.5,14082725.41139641
-85.0,49.7,5832894.987556773
-85.0,49.9,5449040.749805987
-85.0,50.1,5566357.827479894
-85.0,50.3,2527464.640610163
-85.0,50.5,9219779.814662702
-85.0,50.7,10387143.188649662
-75.0,9.5,3630343.2178043327
-75.0,9.7,1058945.9524786116
-75.0,9.9,1783362.8801918032
-75.0,10.1,2069584.87297385
-75.0,10.3,2223367.9146820437
-75.0,10.5,1203640.7859838442
-75.0,10.7,1549407.5121786518
-75.0,10.9,2273258.783779626
-75.0,11.1,2288946.3132917904
-75.0,11.3,28149310.768390886
-75.0,11.5,8643979.602832781
-75.0,11.7,4382326.453386256
-75.0,11.9,6670593.979343386
-75.0,12.1,2502236.3780052634
-75.0,12.3,2052124.9543100703
-75.0,12.5,5049046.4576532645
-75.0,12.7,73441018.56957003
-75.0,12.9,11548435.18703216
-75.0,19.9,18249197.492360476
-75.0,20.1,12932784.245665748
-75.0,32.3,3536029.488693937
-75.0,32.5,3961855.4099712595
-75.0,32.7,1591956.164939651
-75.0,32.9,445473.0435750094
-75.0,33.1,906143.3813649286
-75.0,33.3,1009545.3186782846
-75.0,33.5,1092244.242284481
-75.0,33.7,967158.8206694546
-75.0,33.9,568710.6552234587
-75.0,34.1,3540026.791886941
-75.0,34.3,420320.2017850719
-75.0,34.5,2362594.739102507
-75.0,34.7,238016.77889887302
-75.0,34.9,1399659.4840709432
-75.0,35.1,1614156.2818238132
-75.0,35.3,561470.2569870749
-75.0,38.7,692476.2125766441
-75.0,38.9,17554798.049002293
-75.0,39.1,2768358.7235998493
-75.0,39.3,914552.8022332286
-75.0,39.5,393394.97084351967
-75.0,39.7,1231735.0395573126
-75.0,39.9,71253.81493566243
-75.0,40.1,468589.52336096397
-75.0,40.3,1314999.6192757261
-75.0,40.5,1354105.3118336948
-75.0,40.7,876691.5531221383
-75.0,40.9,1144510.8670533765
-75.0,41.1,1167627.3468393309
-75.0,41.3,1583271.4580967384
-75.0,41.5,2166349.778570521
-75.0,41.7,447697.95761639817
-75.0,41.9,2014339.1260139425
-75.0,42.1,1921571.5236102752
-75.0,42.3,1483753.6927539422
-75.0,42.5,535299.2341951459
-75.0,42.7,1236109.4468251278
-75.0,42.9,1042919.0292991163
-75.0,43.1,1422511.9910045294
-75.0,43.3,272193.72119905346
-75.0,43.5,2955025.240631619
-75.0,43.7,6660299.038101028
-75.0,43.9,1679131.3139138615
-75.0,44.1,7314235.214231921
-75.0,44.3,6174325.016891247
-75.0,44.5,7152155.88287787
-75.0,44.7,3243283.5954176486
-75.0,44.9,434763.2878503584
-65.0,4.1,2830580.8959437725
-65.0,4.3,7050714.886753536
-65.0,4.5,34907242.05146065
-65.0,4.7,9474174.223530643
-65.0,4.9,5685975.240010152
-65.0,5.1,773025.642956414
-65.0,5.3,3063895.187029744
-65.0,5.5,3517589.0994356475
-65.0,5.7,2357202.1508327005
-65.0,5.9,3090895.8387862584
-65.0,6.1,6662297.689697529
-65.0,6.3,16435326.892516412
-65.0,6.5,4335188.444034799
-65.0,6.7,1771898.9163175288
-65.0,6.9,900411.3994277915
-65.0,7.1,2192520.80136245
-65.0,7.3,667172.5291567821
-65.0,7.5,1650697.6666730626
-65.0,7.7,1595715.892565523
-65.0,7.9,405198.32838512457
-65.0,8.1,486841.3605818481
-65.0,8.3,812772.4124415625
-65.0,8.5,1727740.029157084
-65.0,8.7,625577.9497050564
-65.0,8.9,3785747.8070342164
-65.0,9.1,527606.3110689882
-65.0,9.3,1586665.3947700432
-65.0,9.5,6797300.948480102
-65.0,9.7,7681232.8998386245
-65.0,9.9,10524974.727993324
-65.0,10.1,15312310.957727298
-65.0,10.3,9314093.543773096
-65.0,10.5,10400530.383305477
-65.0,10.7,19682947.184794392
-65.0,10.9,27100207.232264858
-65.0,11.1,1485563.7923130384
-65.0,11.3,2307462.1233650427
-65.0,11.5,889286.8292208476
-65.0,11.7,4419584.335977648
-65.0,11.9,30751577.77328069
-65.0,12.1,19124757.73325818
-65.0,12.3,4337526.489298631
-65.0,12.5,9888573.891341174
-65.0,12.7,4274738.66084249
-65.0,12.9,13603991.788423015
-65.0,13.1,5553046.053639043
-65.0,13.3,19259421.59837342
-65.0,13.5,46148865.36322605
-65.0,13.7,29778551.213207167
-65.0,13.9,28872898.067139495
-65.0,14.1,25833439.224157542
-65.0,14.3,12966610.481176354
-65.0,14.5,23732290.74012196
-65.0,14.7,15522508.769027315
-65.0,14.9,14001497.193681981
-65.0,15.1,14330482.788547672
-65.0,15.3,34999368.57693714
-65.0,15.5,38605690.26517597
-65.0,15.7,12650371.004039299
-65.0,15.9,16474960.530779114
-65.0,16.1,76257307.22107844
-65.0,16.3,9007470.220543737
-65.0,16.5,13812077.816904087
-65.0,16.7,11940472.583206356
-65.0,16.9,16994496.814647134
-65.0,17.1,15189525.870968623
-65.0,17.3,15360957.383378003
-65.0,17.5,20287030.20223519
-65.0,17.7,26079047.108082376
-65.0,17.9,13453263.289720794
-65.0,18.1,16777737.392445397
-65.0,18.3,53365506.04289671
-65.0,18.5,21450697.956288993
-65.0,18.7,17390984.038904108
-65.0,18.9,15698503.240741916
-65.0,19.1,23826970.260184918
-65.0,19.3,15669654.779018825
-65.0,19.5,33147674.43838946
-65.0,19.7,34685731.117916286
-65.0,19.9,30658674.41341009
-65.0,20.1,39291076.921146154
-65.0,20.3,18516741.520317104
-65.0,20.5,35544612.045585066
-65.0,20.7,73518400.3257214
-65.0,20.9,65186210.371942885
-65.0,21.1,16414209.064326957
-65.0,21.3,2449026.993049339
-65.0,21.5,2971730.951145775
-65.0,21.7,3035914.064678719
-65.0,21.9,2070640.764383323
-65.0,22.1,1780949.4141130084
-65.0,22.3,1541111.2225327953
-65.0,22.5,2043489.2709968835
-65.0,22.7,3706706.7929536933
-65.0,22.9,3125966.517743743
-65.0,23.1,6422459.498117316
-65.0,23.3,3295663.3514089882
-65.0,23.5,1000607.9521052483
-65.0,23.7,3392616.8090430647
-65.0,23.9,3083504.59891995
-65.0,24.1,2522713.1292675366
-65.0,24.3,1485186.6882382266
-65.0,24.5,2979197.611827046
-65.0,24.7,8967534.899021184
-65.0,24.9,7545098.328831617
-65.0,25.1,446642.06620692555
-65.0,25.3,950339.9789328547
-65.0,25.5,294948.1810731887
-65.0,25.7,2274503.227226504
-65.0,25.9,955619.4359802179
-65.0,26.1,1012449.0200543345
-65.0,26.3,15443920.279836567
-65.0,26.5,1851467.8761027884
-65.0,26.7,1370132.2350131902
-65.0,26.9,516632.58249196893
-65.0,27.1,1670608.761823118
-65.0,27.3,674714.6106530152
-65.0,27.5,874353.507858306
-65.0,27.7,1905657.7316532233
-65.0,27.9,1265448.1438454746
-65.0,28.1,1505474.8874630937
-65.0,28.3,647072.8819693208
-65.0,28.5,1707678.0923771036
-65.0,28.7,1133612.5592913197
-65.0,28.9,2782386.995182843
-65.0,29.1,1463616.335159
-65.0,29.3,1464936.1994208407
-65.0,29.5,2354185.318234207
-65.0,29.7,2749013.2845620112
-65.0,29.9,2891860.3081006664
-65.0,30.1,1701154.1918828622
-65.0,30.3,1687088.2098923873
-65.0,30.5,2084141.0902615804
-65.0,30.7,12866376.218091415
-65.0,30.9,13910803.663689777
-65.0,31.1,15332561.446544684
-65.0,31.3,11171331.112220503
-65.0,31.5,5086379.761059619
-65.0,31.7,3950542.28772691
-65.0,31.9,2029234.736969003
-65.0,32.1,3207307.866680617
-65.0,34.3,27696408.774542086
-65.0,34.5,11097117.03029757
-65.0,34.7,21100481.40201141
-65.0,34.9,31876079.498124562
-65.0,35.1,11221863.058245264
-65.0,35.3,12139357.272262024
-65.0,35.5,49531488.9142866
-65.0,35.7,13937906.133546494
-65.0,35.9,9532021.988606753
-65.0,36.1,4198676.76895298
-65.0,36.3,36650933.582982264
-65.0,36.5,39559273.33915221
-65.0,36.7,13421511.126621654
-65.0,36.9,20242946.735889703
-65.0,37.1,8230296.432764396
-65.0,37.3,17398073.59551057
-65.0,37.5,3017021.150530655
-65.0,37.7,2989077.7385871112
-65.0,37.9,5114662.566670492
-65.0,38.1,5969632.925083479
-65.0,38.3,3719302.0690524024
-65.0,38.5,4033090.3697031816
-65.0,38.7,5511715.447039686
-65.0,38.9,16788296.30654012
-65.0,39.1,11593800.807232002
-65.0,39.3,819711.127418097
-65.0,45.7,3682421.2905358225
-65.0,45.9,6057045.649624822
-65.0,46.1,9927641.87349166
-65.0,46.3,8380760.958614247
-65.0,46.5,6443577.326306769
-65.0,46.7,15382226.05319738
-65.0,46.9,11192071.836335143
-65.0,47.1,7080543.819071137
