x_um,depth_um,optical_generation_cm^-3_s^-1
-115.0,9.7,4947115.384615385
-115.0,9.9,10211538.46153846
-115.0,10.1,2276442.3076923075
-115.0,10.3,2085149.5726495725
-115.0,10.5,1716666.6666666667
-115.0,10.7,3255074.7863247865
-115.0,10.9,813461.5384615385
-115.0,11.1,2807425.2136752135
-115.0,11.3,1177884.6153846153
-115.0,11.5,1023397.435897436
-115.0,11.7,4298611.111111111
-115.0,11.9,2997329.05982906
-115.0,35.3,6571047.008547008
-115.0,35.5,1388862.1794871795
-115.0,35.7,3698450.854700855
-115.0,35.9,1362259.6153846153
-115.0,36.1,1288381.4102564103
-115.0,36.3,24892094.017094016
-115.0,36.5,23313835.470085472
-115.0,110.5,23435897.435897436
-105.0,5.7,5932425.213675213
-105.0,5.9,6023504.273504273
-105.0,6.1,2339129.2735042735
-105.0,6.3,2745352.5641025645
-105.0,6.5,2471340.811965812
-105.0,6.7,12204059.829059828
-105.0,6.9,3509989.316239316
-105.0,7.1,4490651.709401709
-105.0,7.3,2235416.666666667
-105.0,7.5,5515224.358974359
-105.0,7.7,3401442.3076923075
-105.0,7.9,8152243.589743589
-105.0,8.1,24716613.247863248
-105.0,8.5,34770299.145299144
-105.0,8.7,2643776.7094017095
-105.0,8.9,2998130.341880342
-105.0,9.1,3370993.5897435895
-105.0,9.3,5723557.692307692
-105.0,9.5,6388621.794871795
-105.0,9.7,5092948.717948718
-105.0,9.9,3798344.017094017
-105.0,10.5,618135.6837606838
-105.0,10.7,9001495.726495728
-105.0,10.9,4843643.162393162
-105.0,11.1,3516907.0512820515
-105.0,11.3,2170753.205128205
-105.0,11.5,8336485.042735043
-105.0,11.7,9535470.085470086
-105.0,11.9,7788568.376068376
-105.0,12.1,6515224.358974359
-105.0,12.3,3850320.5128205125
-105.0,12.5,3443189.102564103
-105.0,12.7,4787179.487179488
-105.0,12.9,3332318.3760683755
-105.0,13.1,5029540.598290598
-105.0,13.3,7513835.470085469
-105.0,13.5,1895993.5897435897
-105.0,13.7,1524305.5555555557
-105.0,13.9,3396901.709401709
-105.0,14.1,2203472.222222222
-105.0,14.3,3647970.0854700855
-105.0,14.5,1963141.0256410255
-105.0,14.7,1645619.658119658
-105.0,14.9,5348557.692307692
-105.0,15.1,7784188.034188034
-105.0,15.3,8013888.888888889
-105.0,15.5,293509.6153846154
-105.0,15.7,1055422.0085470085
-105.0,15.9,1335149.5726495725
-105.0,16.1,32299278.846153848
-105.0,16.3,18289636.752136752
-105.0,16.5,721554.4871794871
-105.0,16.7,621447.6495726495
-105.0,16.9,5319978.632478632
-105.0,17.1,9600427.35042735
-105.0,17.3,73207799.14529915
-105.0,17.5,13240918.803418802
-105.0,17.7,4174145.299145299
-105.0,17.9,3316239.316239316
-105.0,18.1,2772168.8034188035
-105.0,18.3,2023344.017094017
-105.0,18.5,4188034.188034188
-105.0,18.7,3222489.316239316
-105.0,19.7,39927350.42735043
-105.0,19.9,17116185.897435896
-105.0,20.1,5881944.444444444
-105.0,20.3,5142895.299145299
-105.0,20.5,3253472.222222222
-105.0,20.7,3004807.6923076925
-105.0,20.9,4169604.7008547005
-105.0,21.1,3053685.8974358975
-105.0,21.3,2825854.700854701
-105.0,21.5,33040598.29059829
-105.0,21.7,15836271.367521368
-105.0,21.9,5016533.11965812
-105.0,22.1,2390785.2564102565
-105.0,22.3,2179674.1452991455
-105.0,22.5,4833066.239316239
-105.0,22.7,5076388.888888889
-105.0,22.9,5866987.179487179
-105.0,23.1,2950854.7008547005
-105.0,23.3,3170405.982905983
-105.0,23.5,2637179.487179487
-105.0,23.7,2623344.017094017
-105.0,23.9,4660790.598290598
-105.0,24.1,1941479.7008547008
-105.0,24.3,4951923.076923077
-105.0,24.5,20796741.452991452
-105.0,24.7,3779914.52991453
-105.0,24.9,3522435.8974358975
-105.0,25.1,7520833.333333334
-105.0,25.3,32566773.504273504
