x_um,depth_um,optical_generation_cm^-3_s^-1
-85.0,7.1,24627492.877492875
-85.0,7.3,12090099.715099715
-85.0,81.9,12042022.792022793
-85.0,82.1,12000000.0
-85.0,82.3,11099002.84900285
-55.0,8.7,118304.84330484329
-45.0,11.9,28246438.74643875
-45.0,16.5,8737179.487179488
-45.0,18.1,19180199.43019943
-45.0,18.3,24457264.95726496
-45.0,22.5,22939102.564102564
-45.0,22.7,6929843.304843305
-45.0,43.5,95085.47008547008
-35.0,32.5,11254985.754985755
-35.0,32.7,13655626.780626781
-35.0,32.9,12699430.1994302
-35.0,108.5,17360398.860398863
-35.0,108.7,18729914.529914528
-35.0,116.3,13310541.31054131
-35.0,116.5,22685541.310541313
-25.0,0.1,21784900.284900285
-25.0,6.3,168839.03133903132
-25.0,10.7,46545.584045584044
-25.0,13.7,312357.54985754983
-25.0,17.1,7542022.792022793
-25.0,17.3,19537393.162393164
-25.0,40.5,11911680.911680913
-25.0,40.7,23466168.09116809
-25.0,40.9,7439814.814814814
-25.0,47.5,28503561.253561255
-25.0,47.7,18786680.91168091
-25.0,52.1,11358262.108262109
-15.0,0.1,591306980.05698
-15.0,0.3,683760683.7606838
-15.0,0.5,1066987179.4871795
-15.0,0.7,1087788461.5384614
-15.0,0.9,1201980056.980057
-15.0,1.1,1397536253.5612535
-15.0,1.3,1438143874.6438746
-15.0,1.5,1452204059.8290598
-15.0,1.7,1472720797.7207978
-15.0,1.9,1371972934.4729345
-15.0,2.1,1385826210.8262107
-15.0,2.3,1626246438.7464387
-15.0,2.5,1995156695.1566951
-15.0,2.7,1811538461.5384614
-15.0,2.9,2184829059.8290596
-15.0,3.1,2447934472.934473
-15.0,3.3,1887434472.9344728
-15.0,3.5,1925038817.6638176
-15.0,3.7,1754059829.059829
-15.0,3.9,2246153846.1538463
-15.0,4.1,2071843660.9686608
-15.0,4.3,1945176638.1766381
-15.0,4.5,2135347222.222222
-15.0,4.7,2399575142.4501424
-15.0,4.9,2074322293.4472933
-15.0,5.1,2518574074.074074
-15.0,5.3,2119123931.6239316
-15.0,5.5,2136894586.8945868
-15.0,5.7,2304415954.4159546
-15.0,5.9,1695833333.3333333
-15.0,6.1,1661146723.6467235
-15.0,6.3,1774109686.6096866
-15.0,6.5,1556411324.7863247
-15.0,6.7,1716818732.1937323
-15.0,6.9,1469541666.6666665
-15.0,7.1,1380212962.9629629
-15.0,7.3,1513105413.1054132
-15.0,7.5,1162357549.85755
-15.0,7.7,972578347.5783476
-15.0,7.9,1016987179.4871795
-15.0,8.1,1050992165.2421651
-15.0,8.3,785571937.3219373
-15.0,8.5,900285612.5356126
-15.0,8.7,998336894.5868946
-15.0,8.9,532157407.40740734
-15.0,9.1,645562678.0626781
-15.0,9.3,410606481.4814815
-15.0,9.5,419869658.1196581
-15.0,9.7,426353276.3532764
-15.0,9.9,216253561.25356126
-15.0,10.1,377656695.1566951
-15.0,10.3,257022792.022792
-15.0,10.5,201157407.4074074
-15.0,10.7,228814102.56410256
-15.0,10.9,109526353.27635327
-15.0,11.1,32632834.757834755
-15.0,11.3,94341880.34188034
-15.0,11.5,62180911.68091168
-15.0,11.7,47209045.58404558
-15.0,11.9,116757834.75783475
-15.0,12.1,56809116.80911681
-15.0,12.3,16727207.977207977
-15.0,12.5,25309472.934472933
-15.0,12.7,27206552.706552707
-15.0,12.9,45730056.98005698
-15.0,13.1,2945477.207977208
-15.0,13.3,3754629.629629629
-15.0,13.5,2614921.6524216523
-15.0,13.7,49006410.256410256
-15.0,13.9,3625356.125356125
-15.0,14.3,10378205.128205128
-15.0,14.5,5158475.783475784
-15.0,14.7,26128917.378917377
-15.0,18.7,143518.5185185185
-15.0,22.1,166951.56695156696
-15.0,26.1,12400641.025641026
-15.0,26.3,12815669.515669515
-15.0,30.1,92984.33048433048
-15.0,42.1,20935897.435897436
-15.0,42.3,7801638.176638176
-15.0,52.1,914209.4017094016
-15.0,52.3,22457264.957264956
-15.0,58.3,118198.00569800568
-15.0,58.5,93198.0056980057
-15.0,84.7,6415242.165242165
-15.0,84.9,23576923.076923076
-15.0,85.1,23285612.535612535
-5.0,0.1,73605192307.6923
-5.0,0.3,102979273504.2735
-5.0,0.5,109766666666.66667
-5.0,0.7,118045121082.62108
-5.0,0.9,125596599002.849
-5.0,1.1,132074074074.07407
-5.0,1.3,142770833333.33334
-5.0,1.5,147839672364.67236
-5.0,1.7,153736396011.396
-5.0,1.9,159939387464.38745
-5.0,2.1,168043589743.58975
-5.0,2.3,169469836182.33618
-5.0,2.5,170746759259.25925
-5.0,2.7,175960790598.2906
-5.0,2.9,180250213675.21368
-5.0,3.1,180643233618.2336
-5.0,3.3,182173254985.75497
-5.0,3.5,183723717948.71796
-5.0,3.7,185128774928.77493
-5.0,3.9,185752421652.42166
-5.0,4.1,190166488603.9886
-5.0,4.3,186297044159.54416
-5.0,4.5,184852279202.2792
-5.0,4.7,186120405982.90598
-5.0,4.9,183033048433.04843
-5.0,5.1,181142806267.80627
-5.0,5.3,177820512820.51282
-5.0,5.5,176706160968.66098
-5.0,5.7,173150534188.03418
-5.0,5.9,169642343304.8433
