x_um,depth_um,optical_generation_cm^-3_s^-1
-198.70000000000002,42.900000000000006,167869006816274.1
-198.50000000000003,42.5,26652753523912.426
-111.30000000000499,42.5,911730938069.8314
-49.30000000000851,69.7,312196557009715.4
-46.50000000000867,6.300000000000001,350466071187372.7
-44.90000000000876,7.700000000000001,158141479898503.6
-44.50000000000878,22.1,19961269525031.594
-43.30000000000885,1.5,206716975682350.97
-43.30000000000885,22.1,431781903346872.44
-42.90000000000887,1.5,107132756948933.39
-42.700000000008885,7.1,274500869521172.34
-42.500000000008896,1.3000000000000003,13546862487819.463
-42.500000000008896,8.9,124537426193209.7
-42.30000000000891,0.9,19615435870100.04
-42.10000000000892,0.5,7584190392574.937
-42.10000000000892,0.7000000000000001,43549669437235.266
-41.90000000000893,0.30000000000000004,5313968296848.014
-41.70000000000894,0.1,14752931166726.156
-41.50000000000895,0.1,4281622953429.3613
-41.50000000000895,6.300000000000001,339704766809134.6
-41.300000000008964,0.1,4254774527491.8223
-41.300000000008964,20.9,311667156098949.25
-40.700000000009,0.1,176303256664318.94
-40.700000000009,15.5,202489803326611.84
-40.700000000009,22.5,163470583411320.84
-40.50000000000901,16.700000000000003,374401299698983.94
-40.30000000000902,26.5,242641254980752.25
-39.900000000009044,4.700000000000001,95806293958455.89
-39.900000000009044,15.5,212323668703991.28
-39.900000000009044,20.9,137200446338121.89
-39.700000000009055,2.5,221247205110517.12
-39.700000000009055,4.300000000000001,50150869762371.07
-39.50000000000907,1.7000000000000002,43062809940279.195
-39.50000000000907,2.7,22701045113797.516
-39.50000000000907,7.700000000000001,184111008065683.16
-39.50000000000907,15.9,315182460756977.75
-39.50000000000907,26.1,255105798777605.12
-39.30000000000908,1.7000000000000002,173238601554284.12
-39.30000000000908,6.1,112912766283321.56
-39.30000000000908,10.3,160335980689635.16
-39.10000000000909,1.9,29035479720016.59
-39.10000000000909,12.9,398899847683045.56
-39.10000000000909,17.9,167933572682804.44
-38.70000000000911,8.100000000000001,343620687367943.56
-38.50000000000912,1.5,24246359709210.887
-38.50000000000912,1.9,133260933535296.95
-38.50000000000912,3.1,316516666224469.0
-38.50000000000912,4.9,161806810123590.16
-38.50000000000912,7.700000000000001,215752337818020.38
-38.50000000000912,15.5,194993333872010.25
-38.300000000009135,2.9000000000000004,38741766080714.7
-38.300000000009135,23.1,298192381860895.75
-38.100000000009146,6.9,236606765984235.2
-37.90000000000916,0.9,14278206977394.857
-37.90000000000916,3.5,117807606682167.66
-37.90000000000916,6.700000000000001,171766340003280.25
-37.70000000000917,1.9,102652944070854.48
-37.70000000000917,2.1,26956513087439.324
-37.70000000000917,13.100000000000001,146223100319347.0
-37.70000000000917,16.700000000000003,215474989507858.2
-37.70000000000917,23.700000000000003,144754999445243.03
-37.50000000000918,7.5,109529156094125.33
-37.50000000000918,15.9,130918683489469.23
-37.50000000000918,20.700000000000003,156017424191260.84
-37.50000000000918,22.1,90026782096305.77
-37.30000000000919,0.5,18666002566353.746
-37.30000000000919,4.700000000000001,259635298579822.2
-37.30000000000919,16.9,246671262506150.47
-37.30000000000919,17.9,262046712341652.97
-37.30000000000919,18.9,361797885773138.06
-37.1000000000092,2.3000000000000003,73861301122056.14
-37.1000000000092,7.300000000000001,228175862767609.8
-37.1000000000092,23.9,160647699808970.6
-36.900000000009214,4.700000000000001,81453631969435.27
-36.900000000009214,5.300000000000001,75100429092417.66
-36.900000000009214,18.3,140574333206301.98
-36.700000000009226,0.30000000000000004,60015171395768.39
-36.700000000009226,0.9,276778629075051.28
-36.700000000009226,4.1,62742329279587.83
-36.700000000009226,13.3,255376001577439.12
-36.700000000009226,19.5,160794514418855.88
-36.700000000009226,23.700000000000003,411371175192235.1
-36.50000000000924,2.5,60721597048693.17
-36.50000000000924,2.9000000000000004,64788975291609.15
-36.50000000000924,4.9,246803273548225.2
-36.50000000000924,17.3,423135142403689.25
-36.50000000000924,22.300000000000004,321531894904919.44
-36.50000000000924,22.700000000000003,422089063811517.56
-36.30000000000925,2.5,40442352314059.945
-36.10000000000926,0.1,17003465421759.973
-36.10000000000926,6.9,199433982117531.25
-36.10000000000926,8.3,139437563917645.08
-36.10000000000926,17.700000000000003,292370720532759.5
-36.10000000000926,26.5,285765676103966.1
-35.90000000000927,0.5,93927371465233.58
-35.90000000000927,1.5,26219153706258.613
-35.90000000000927,2.1,62195004293336.14
-35.90000000000927,14.100000000000001,144304983043734.1
-35.90000000000927,18.3,226552912353230.53
-35.70000000000928,0.1,41299617579523.18
-35.70000000000928,13.700000000000001,130148882888402.14
-35.70000000000928,17.9,297116062986618.2
-35.70000000000928,22.300000000000004,124355351354089.27
-35.500000000009294,0.30000000000000004,195204141501606.34
-35.500000000009294,3.3000000000000003,281982580632712.25
