# Geant4 depth energy profile
# NEvents: 100000
# BinWidth_um: 0.1
depth_um,dEdx_eV_per_um
5.000000e-02,1.513875e+03
1.500000e-01,1.555129e+03
2.500000e-01,1.555928e+03
3.500000e-01,1.625939e+03
4.500000e-01,1.658409e+03
5.500000e-01,1.654799e+03
6.500000e-01,1.624116e+03
7.500000e-01,1.687353e+03
8.500000e-01,1.794301e+03
9.500000e-01,1.750223e+03
1.050000e+00,1.773123e+03
1.150000e+00,1.827014e+03
1.250000e+00,1.812601e+03
1.350000e+00,1.812568e+03
1.450000e+00,1.859262e+03
1.550000e+00,1.841860e+03
1.650000e+00,1.877958e+03
1.750000e+00,1.928971e+03
1.850000e+00,1.939990e+03
1.950000e+00,1.931131e+03
2.050000e+00,1.979064e+03
2.150000e+00,1.973857e+03
2.250000e+00,1.962327e+03
2.350000e+00,2.032816e+03
2.450000e+00,2.035772e+03
2.550000e+00,2.044347e+03
2.650000e+00,2.028036e+03
2.750000e+00,2.108531e+03
2.850000e+00,2.131183e+03
2.950000e+00,2.142257e+03
3.050000e+00,2.139285e+03
3.150000e+00,2.119977e+03
3.250000e+00,2.191093e+03
3.350000e+00,2.176643e+03
3.450000e+00,2.286840e+03
3.550000e+00,2.225951e+03
3.650000e+00,2.302634e+03
3.750000e+00,2.309760e+03
3.850000e+00,2.327858e+03
3.950000e+00,2.288442e+03
4.050000e+00,2.361949e+03
4.150000e+00,2.314022e+03
4.250000e+00,2.348899e+03
4.350000e+00,2.395361e+03
4.450000e+00,2.343014e+03
4.550000e+00,2.457802e+03
4.650000e+00,2.459397e+03
4.750000e+00,2.434606e+03
4.850000e+00,2.488664e+03
4.950000e+00,2.500970e+03
5.050000e+00,2.527619e+03
5.150000e+00,2.514540e+03
5.250000e+00,2.508418e+03
5.350000e+00,2.558797e+03
5.450000e+00,2.537255e+03
5.550000e+00,2.555114e+03
5.650000e+00,2.602573e+03
5.750000e+00,2.657578e+03
5.850000e+00,2.646836e+03
5.950000e+00,2.675126e+03
6.050000e+00,2.614865e+03
6.150000e+00,2.700814e+03
6.250000e+00,2.701422e+03
6.350000e+00,2.681106e+03
6.450000e+00,2.729316e+03
6.550000e+00,2.689996e+03
6.650000e+00,2.818710e+03
6.750000e+00,2.799381e+03
6.850000e+00,2.795869e+03
6.950000e+00,2.815601e+03
7.050000e+00,2.840117e+03
7.150000e+00,2.811515e+03
7.250000e+00,2.818244e+03
7.350000e+00,2.865396e+03
7.450000e+00,2.829823e+03
7.550000e+00,2.879228e+03
7.650000e+00,2.894047e+03
7.750000e+00,2.932777e+03
7.850000e+00,2.932021e+03
7.950000e+00,2.930556e+03
8.050000e+00,2.941520e+03
8.150000e+00,2.989334e+03
8.250000e+00,2.956001e+03
8.350000e+00,3.005790e+03
8.450000e+00,2.977525e+03
8.550000e+00,3.005074e+03
8.650000e+00,2.928423e+03
8.750000e+00,2.985977e+03
8.850000e+00,3.021889e+03
8.950000e+00,2.946829e+03
9.050000e+00,3.052595e+03
9.150000e+00,3.056694e+03
9.250000e+00,3.051296e+03
9.350000e+00,3.112022e+03
9.450000e+00,3.003415e+03
9.550000e+00,3.145173e+03
9.650000e+00,3.036900e+03
9.750000e+00,3.060255e+03
9.850000e+00,3.028049e+03
9.950000e+00,3.120350e+03
1.005000e+01,3.101824e+03
1.015000e+01,3.126426e+03
1.025000e+01,3.119297e+03
1.035000e+01,3.118882e+03
1.045000e+01,3.124851e+03
1.055000e+01,3.172614e+03
1.065000e+01,3.137330e+03
1.075000e+01,3.105097e+03
1.085000e+01,3.116936e+03
1.095000e+01,3.140896e+03
1.105000e+01,3.164882e+03
1.115000e+01,3.162006e+03
1.125000e+01,3.180459e+03
1.135000e+01,3.218038e+03
1.145000e+01,3.164275e+03
1.155000e+01,3.216223e+03
1.165000e+01,3.154396e+03
1.175000e+01,3.154601e+03
1.185000e+01,3.202067e+03
1.195000e+01,3.238987e+03
1.205000e+01,3.138255e+03
1.215000e+01,3.237037e+03
1.225000e+01,3.206106e+03
1.235000e+01,3.154434e+03
1.245000e+01,3.216079e+03
1.255000e+01,3.197155e+03
1.265000e+01,3.196671e+03
1.275000e+01,3.262644e+03
1.285000e+01,3.209297e+03
1.295000e+01,3.284403e+03
1.305000e+01,3.216501e+03
1.315000e+01,3.289728e+03
1.325000e+01,3.233408e+03
1.335000e+01,3.238506e+03
1.345000e+01,3.212381e+03
1.355000e+01,3.294037e+03
1.365000e+01,3.209773e+03
1.375000e+01,3.208521e+03
1.385000e+01,3.162900e+03
1.395000e+01,3.151691e+03
1.405000e+01,3.210806e+03
1.415000e+01,3.246445e+03
1.425000e+01,3.223585e+03
1.435000e+01,3.224344e+03
1.445000e+01,3.236913e+03
1.455000e+01,3.269543e+03
1.465000e+01,3.248928e+03
1.475000e+01,3.192676e+03
1.485000e+01,3.219018e+03
1.495000e+01,3.207350e+03
1.505000e+01,3.263345e+03
1.515000e+01,3.233496e+03
1.525000e+01,3.154386e+03
1.535000e+01,3.177039e+03
1.545000e+01,3.150166e+03
1.555000e+01,3.154530e+03
1.565000e+01,3.174811e+03
1.575000e+01,3.142787e+03
1.585000e+01,3.136008e+03
1.595000e+01,3.170970e+03
1.605000e+01,3.169557e+03
1.615000e+01,3.163722e+03
1.625000e+01,3.152063e+03
1.635000e+01,3.172700e+03
1.645000e+01,3.079239e+03
1.655000e+01,3.084966e+03
1.665000e+01,3.087641e+03
1.675000e+01,3.059174e+03
1.685000e+01,3.042423e+03
1.695000e+01,3.056936e+03
1.705000e+01,3.132097e+03
1.715000e+01,3.106217e+03
1.725000e+01,3.088463e+03
1.735000e+01,3.075456e+03
1.745000e+01,3.129243e+03
1.755000e+01,3.049374e+03
1.765000e+01,3.049670e+03
1.775000e+01,3.025157e+03
1.785000e+01,3.037487e+03
1.795000e+01,3.034147e+03
1.805000e+01,3.028164e+03
1.815000e+01,3.037953e+03
1.825000e+01,3.047782e+03
1.835000e+01,3.004117e+03
1.845000e+01,3.053899e+03
1.855000e+01,2.989766e+03
1.865000e+01,2.962256e+03
1.875000e+01,3.050689e+03
1.885000e+01,3.020746e+03
1.895000e+01,3.017351e+03
1.905000e+01,2.907514e+03
1.915000e+01,2.957958e+03
1.925000e+01,2.955636e+03
1.935000e+01,2.935279e+03
1.945000e+01,3.064370e+03
1.955000e+01,2.969344e+03
1.965000e+01,2.891032e+03
1.975000e+01,2.970229e+03
1.985000e+01,2.913165e+03
1.995000e+01,2.904370e+03
2.005000e+01,2.897219e+03
2.015000e+01,2.802097e+03
2.025000e+01,2.818634e+03
2.035000e+01,2.837974e+03
2.045000e+01,2.901877e+03
2.055000e+01,2.892410e+03
2.065000e+01,2.858453e+03
2.075000e+01,2.802855e+03
2.085000e+01,2.762172e+03
2.095000e+01,2.793830e+03
2.105000e+01,2.784895e+03
2.115000e+01,2.755045e+03
