# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
0.0350,-0.0050,43.900,9.2910e+03
0.0350,-0.0050,43.700,7.3474e+03
0.0350,-0.0050,43.500,2.3962e+03
0.0350,-0.0050,43.300,3.0244e+03
0.0350,-0.0050,42.900,1.8859e+03
0.0350,-0.0050,42.700,6.2854e+02
0.0350,-0.0050,42.500,9.0826e+01
0.0350,-0.0050,42.300,2.4535e+02
-0.0350,-0.0050,41.300,1.0684e+03
-0.0350,-0.0050,41.100,3.2432e+03
0.0350,-0.0050,45.500,5.2109e+03
0.0350,-0.0050,45.700,1.7898e+03
0.0350,-0.0050,45.900,1.8009e+03
0.0350,-0.0050,46.100,9.6477e+01
-0.0150,0.0450,26.900,7.5848e+03
-0.0450,0.0150,24.100,6.3571e+02
-0.0450,0.0150,24.300,1.4109e+03
-0.0450,0.0150,24.500,4.0038e+02
-0.0450,0.0150,24.700,4.2730e+02
0.0150,-0.0150,54.900,3.8696e+03
0.0150,-0.0150,54.700,2.7511e+03
0.0150,-0.0150,54.500,1.1345e+03
0.0150,-0.0150,54.300,4.5500e+03
0.0150,-0.0150,54.100,1.7276e+03
0.0150,-0.0150,53.900,9.5172e+02
0.0150,-0.0150,53.700,7.4218e+02
0.0150,-0.0150,53.500,5.6212e+02
0.0150,-0.0150,53.300,5.9062e+02
0.0150,-0.0150,53.100,6.3100e+02
0.0150,-0.0150,52.900,3.4722e+02
0.0150,-0.0150,52.700,1.4369e+02
0.0150,-0.0150,52.500,8.9072e+02
0.0150,-0.0150,52.300,1.8585e+03
0.0150,-0.0150,52.100,7.9734e+02
0.0150,-0.0150,51.900,1.2004e+03
0.0150,-0.0150,51.700,4.6897e+03
0.0150,-0.0150,51.500,1.1903e+03
0.0150,-0.0150,51.300,3.6540e+02
0.0150,-0.0150,51.100,5.8528e+02
0.0150,-0.0150,57.900,3.5120e+01
-0.0450,0.0050,32.500,2.8631e+01
-0.0450,0.0050,32.300,9.3589e+02
-0.0450,0.0050,32.100,1.1679e+03
-0.0450,0.0050,31.900,1.9042e+02
-0.0450,0.0050,31.700,7.1313e+02
-0.0450,0.0050,31.500,1.0464e+03
-0.0450,0.0050,31.300,1.1336e+03
-0.0450,0.0050,31.100,5.6006e+03
-0.0450,0.0050,30.900,1.8568e+03
-0.0450,0.0050,30.700,2.1238e+03
-0.0450,0.0050,30.500,4.2792e+03
-0.0450,0.0050,30.300,1.8438e+03
-0.0250,0.0250,43.700,4.4065e+03
-0.0250,0.0250,43.900,3.5364e+03
0.0350,0.0250,47.300,4.0330e+01
0.0050,-0.0350,44.300,2.9696e+03
0.0050,-0.0350,44.100,5.0527e+03
-0.0150,-0.0450,2.500,7.3156e+03
-0.0150,0.0450,31.100,5.6431e+03
