# Geant4 depth energy profile
# NEvents: 100000
# BinWidth_um: 0.1
depth_um,dEdx_eV_per_um
5.000000e-02,1.130366e+03
1.500000e-01,1.151740e+03
2.500000e-01,1.196892e+03
3.500000e-01,1.197140e+03
4.500000e-01,1.233749e+03
5.500000e-01,1.230037e+03
6.500000e-01,1.211488e+03
7.500000e-01,1.208030e+03
8.500000e-01,1.220317e+03
9.500000e-01,1.242640e+03
1.050000e+00,1.252258e+03
1.150000e+00,1.225986e+03
1.250000e+00,1.281145e+03
1.350000e+00,1.284950e+03
1.450000e+00,1.303219e+03
1.550000e+00,1.271874e+03
1.650000e+00,1.287549e+03
1.750000e+00,1.259654e+03
1.850000e+00,1.323283e+03
1.950000e+00,1.303422e+03
2.050000e+00,1.333194e+03
2.150000e+00,1.299024e+03
2.250000e+00,1.376003e+03
2.350000e+00,1.348817e+03
2.450000e+00,1.332884e+03
2.550000e+00,1.404046e+03
2.650000e+00,1.413942e+03
2.750000e+00,1.353875e+03
2.850000e+00,1.423763e+03
2.950000e+00,1.397938e+03
3.050000e+00,1.406877e+03
3.150000e+00,1.382498e+03
3.250000e+00,1.395209e+03
3.350000e+00,1.376422e+03
3.450000e+00,1.390525e+03
3.550000e+00,1.408051e+03
3.650000e+00,1.452021e+03
3.750000e+00,1.402456e+03
3.850000e+00,1.439394e+03
3.950000e+00,1.398792e+03
4.050000e+00,1.444304e+03
4.150000e+00,1.499167e+03
4.250000e+00,1.509462e+03
4.350000e+00,1.421969e+03
4.450000e+00,1.458394e+03
4.550000e+00,1.527120e+03
4.650000e+00,1.516904e+03
4.750000e+00,1.477863e+03
4.850000e+00,1.527084e+03
4.950000e+00,1.510807e+03
5.050000e+00,1.574321e+03
5.150000e+00,1.561250e+03
5.250000e+00,1.540392e+03
5.350000e+00,1.561863e+03
5.450000e+00,1.552524e+03
5.550000e+00,1.541977e+03
5.650000e+00,1.554376e+03
5.750000e+00,1.580126e+03
5.850000e+00,1.580519e+03
5.950000e+00,1.570753e+03
6.050000e+00,1.571586e+03
6.150000e+00,1.583751e+03
6.250000e+00,1.607521e+03
6.350000e+00,1.615378e+03
6.450000e+00,1.554565e+03
6.550000e+00,1.609251e+03
6.650000e+00,1.650341e+03
6.750000e+00,1.678684e+03
6.850000e+00,1.662197e+03
6.950000e+00,1.674813e+03
7.050000e+00,1.623516e+03
7.150000e+00,1.673315e+03
7.250000e+00,1.685685e+03
7.350000e+00,1.633409e+03
7.450000e+00,1.653129e+03
7.550000e+00,1.663039e+03
7.650000e+00,1.737583e+03
7.750000e+00,1.709139e+03
7.850000e+00,1.759899e+03
7.950000e+00,1.682059e+03
8.050000e+00,1.695375e+03
8.150000e+00,1.750637e+03
8.250000e+00,1.763990e+03
8.350000e+00,1.778859e+03
8.450000e+00,1.797887e+03
8.550000e+00,1.779198e+03
8.650000e+00,1.771470e+03
8.750000e+00,1.769333e+03
8.850000e+00,1.757883e+03
8.950000e+00,1.782544e+03
9.050000e+00,1.786603e+03
9.150000e+00,1.790761e+03
9.250000e+00,1.753301e+03
9.350000e+00,1.794161e+03
9.450000e+00,1.762219e+03
9.550000e+00,1.778541e+03
9.650000e+00,1.857901e+03
9.750000e+00,1.848385e+03
9.850000e+00,1.855780e+03
9.950000e+00,1.850001e+03
1.005000e+01,1.832904e+03
1.015000e+01,1.834909e+03
1.025000e+01,1.899563e+03
1.035000e+01,1.857839e+03
1.045000e+01,1.910133e+03
1.055000e+01,1.922634e+03
1.065000e+01,1.918692e+03
1.075000e+01,1.859642e+03
1.085000e+01,1.900985e+03
1.095000e+01,1.919997e+03
1.105000e+01,1.862838e+03
1.115000e+01,1.927732e+03
1.125000e+01,1.912927e+03
1.135000e+01,1.919998e+03
1.145000e+01,1.949143e+03
1.155000e+01,1.977089e+03
1.165000e+01,1.952375e+03
1.175000e+01,1.990742e+03
1.185000e+01,1.940840e+03
1.195000e+01,2.025092e+03
1.205000e+01,2.014446e+03
1.215000e+01,1.954351e+03
1.225000e+01,2.062229e+03
1.235000e+01,1.997404e+03
1.245000e+01,2.022787e+03
1.255000e+01,1.955314e+03
1.265000e+01,2.033406e+03
1.275000e+01,2.010880e+03
1.285000e+01,2.056667e+03
1.295000e+01,2.022784e+03
1.305000e+01,2.026117e+03
1.315000e+01,1.994776e+03
1.325000e+01,2.030734e+03
1.335000e+01,2.013398e+03
1.345000e+01,2.025433e+03
1.355000e+01,2.078962e+03
1.365000e+01,2.075008e+03
1.375000e+01,2.075531e+03
1.385000e+01,2.080427e+03
1.395000e+01,2.042254e+03
1.405000e+01,2.144200e+03
1.415000e+01,2.061666e+03
1.425000e+01,2.075088e+03
1.435000e+01,2.050879e+03
1.445000e+01,2.047637e+03
1.455000e+01,2.105028e+03
1.465000e+01,2.075845e+03
1.475000e+01,2.147071e+03
1.485000e+01,2.127027e+03
1.495000e+01,2.117867e+03
1.505000e+01,2.127876e+03
1.515000e+01,2.087171e+03
1.525000e+01,2.122641e+03
1.535000e+01,2.148587e+03
1.545000e+01,2.103031e+03
1.555000e+01,2.181825e+03
1.565000e+01,2.113376e+03
1.575000e+01,2.177646e+03
1.585000e+01,2.148670e+03
1.595000e+01,2.139356e+03
1.605000e+01,2.168618e+03
1.615000e+01,2.149810e+03
1.625000e+01,2.207674e+03
1.635000e+01,2.179519e+03
1.645000e+01,2.184938e+03
1.655000e+01,2.189370e+03
1.665000e+01,2.199734e+03
1.675000e+01,2.235353e+03
1.685000e+01,2.205716e+03
1.695000e+01,2.191650e+03
1.705000e+01,2.197464e+03
1.715000e+01,2.260486e+03
1.725000e+01,2.154072e+03
1.735000e+01,2.218703e+03
1.745000e+01,2.183259e+03
1.755000e+01,2.237354e+03
1.765000e+01,2.191290e+03
1.775000e+01,2.239729e+03
1.785000e+01,2.226109e+03
1.795000e+01,2.234854e+03
1.805000e+01,2.224902e+03
1.815000e+01,2.259533e+03
1.825000e+01,2.309616e+03
1.835000e+01,2.278250e+03
1.845000e+01,2.309109e+03
1.855000e+01,2.289263e+03
1.865000e+01,2.295899e+03
1.875000e+01,2.349172e+03
1.885000e+01,2.303947e+03
1.895000e+01,2.312575e+03
1.905000e+01,2.308915e+03
1.915000e+01,2.257248e+03
1.925000e+01,2.319076e+03
1.935000e+01,2.316831e+03
1.945000e+01,2.305205e+03
1.955000e+01,2.304926e+03
1.965000e+01,2.296947e+03
1.975000e+01,2.334213e+03
1.985000e+01,2.378868e+03
1.995000e+01,2.272475e+03
2.005000e+01,2.381645e+03
2.015000e+01,2.367573e+03
2.025000e+01,2.323550e+03
2.035000e+01,2.336071e+03
2.045000e+01,2.307870e+03
2.055000e+01,2.410356e+03
2.065000e+01,2.413686e+03
2.075000e+01,2.348228e+03
2.085000e+01,2.396705e+03
2.095000e+01,2.340609e+03
2.105000e+01,2.378995e+03
2.115000e+01,2.337795e+03
2.125000e+01,2.485586e+03
2.135000e+01,2.399789e+03
2.145000e+01,2.445949e+03
2.155000e+01,2.397520e+03
2.165000e+01,2.355847e+03
2.175000e+01,2.412349e+03
2.185000e+01,2.339226e+03
2.195000e+01,2.397471e+03
2.205000e+01,2.398486e+03
2.215000e+01,2.441688e+03
2.225000e+01,2.392273e+03
2.235000e+01,2.414237e+03
2.245000e+01,2.384986e+03
2.255000e+01,2.391737e+03
2.265000e+01,2.477029e+03
2.275000e+01,2.390414e+03
2.285000e+01,2.433046e+03
2.295000e+01,2.389278e+03
2.305000e+01,2.417883e+03
2.315000e+01,2.416201e+03
2.325000e+01,2.355563e+03
2.335000e+01,2.358399e+03
2.345000e+01,2.353899e+03
2.355000e+01,2.359749e+03
2.365000e+01,2.394178e+03
2.375000e+01,2.429978e+03
2.385000e+01,2.423827e+03
2.395000e+01,2.404689e+03
2.405000e+01,2.437388e+03
2.415000e+01,2.374504e+03
2.425000e+01,2.455718e+03
2.435000e+01,2.422088e+03
2.445000e+01,2.427678e+03
2.455000e+01,2.394366e+03
2.465000e+01,2.425287e+03
2.475000e+01,2.402166e+03
2.485000e+01,2.450210e+03
2.495000e+01,2.409718e+03
2.505000e+01,2.456236e+03
2.515000e+01,2.381001e+03
2.525000e+01,2.444370e+03
2.535000e+01,2.443719e+03
2.545000e+01,2.500256e+03
2.555000e+01,2.491591e+03
2.565000e+01,2.442124e+03
2.575000e+01,2.539521e+03
2.585000e+01,2.466584e+03
2.595000e+01,2.465785e+03
2.605000e+01,2.462569e+03
2.615000e+01,2.453025e+03
2.625000e+01,2.448465e+03
2.635000e+01,2.519184e+03
2.645000e+01,2.473609e+03
2.655000e+01,2.483069e+03
2.665000e+01,2.424437e+03
2.675000e+01,2.439782e+03
2.685000e+01,2.466616e+03
2.695000e+01,2.503462e+03
2.705000e+01,2.488715e+03
2.715000e+01,2.457748e+03
2.725000e+01,2.417847e+03
2.735000e+01,2.453305e+03
2.745000e+01,2.435341e+03
2.755000e+01,2.487528e+03
2.765000e+01,2.534566e+03
2.775000e+01,2.478593e+03
2.785000e+01,2.454341e+03
2.795000e+01,2.478514e+03
2.805000e+01,2.471088e+03
2.815000e+01,2.441093e+03
2.825000e+01,2.456596e+03
2.835000e+01,2.449313e+03
2.845000e+01,2.459004e+03
2.855000e+01,2.444700e+03
2.865000e+01,2.433776e+03
2.875000e+01,2.480341e+03
2.885000e+01,2.448033e+03
2.895000e+01,2.460130e+03
2.905000e+01,2.471096e+03
2.915000e+01,2.466869e+03
2.925000e+01,2.454748e+03
2.935000e+01,2.441346e+03
2.945000e+01,2.443546e+03
2.955000e+01,2.439791e+03
2.965000e+01,2.499706e+03
2.975000e+01,2.428953e+03
2.985000e+01,2.439411e+03
2.995000e+01,2.480666e+03
3.005000e+01,2.454438e+03
3.015000e+01,2.422251e+03
3.025000e+01,2.491477e+03
3.035000e+01,2.502488e+03
3.045000e+01,2.437582e+03
3.055000e+01,2.454724e+03
3.065000e+01,2.486011e+03
3.075000e+01,2.463084e+03
3.085000e+01,2.454457e+03
3.095000e+01,2.484037e+03
3.105000e+01,2.463066e+03
3.115000e+01,2.444172e+03
3.125000e+01,2.465985e+03
3.135000e+01,2.386946e+03
3.145000e+01,2.397953e+03
3.155000e+01,2.500639e+03
3.165000e+01,2.484085e+03
3.175000e+01,2.432897e+03
3.185000e+01,2.437357e+03
3.195000e+01,2.441740e+03
3.205000e+01,2.460270e+03
3.215000e+01,2.436695e+03
3.225000e+01,2.436818e+03
3.235000e+01,2.469932e+03
3.245000e+01,2.422843e+03
3.255000e+01,2.440737e+03
3.265000e+01,2.447451e+03
3.275000e+01,2.448557e+03
3.285000e+01,2.401265e+03
3.295000e+01,2.432468e+03
3.305000e+01,2.438320e+03
3.315000e+01,2.411742e+03
3.325000e+01,2.444431e+03
3.335000e+01,2.474199e+03
3.345000e+01,2.439071e+03
