# Beta energy spectrum at SiC surface
# NEvents_total: 99992
# BinWidth_keV: 1
energy_keV,count,count_normalized
5.000000e-01,4.850000e+02,4.850388e-03
1.500000e+00,1.016000e+03,1.016081e-02
2.500000e+00,1.012000e+03,1.012081e-02
3.500000e+00,1.047000e+03,1.047084e-02
4.500000e+00,1.029000e+03,1.029082e-02
5.500000e+00,9.720000e+02,9.720778e-03
6.500000e+00,1.030000e+03,1.030082e-02
7.500000e+00,1.124000e+03,1.124090e-02
8.500000e+00,1.083000e+03,1.083087e-02
9.500000e+00,1.092000e+03,1.092087e-02
1.050000e+01,1.090000e+03,1.090087e-02
1.150000e+01,1.135000e+03,1.135091e-02
1.250000e+01,1.144000e+03,1.144092e-02
1.350000e+01,1.125000e+03,1.125090e-02
1.450000e+01,1.204000e+03,1.204096e-02
1.550000e+01,1.159000e+03,1.159093e-02
1.650000e+01,1.127000e+03,1.127090e-02
1.750000e+01,1.154000e+03,1.154092e-02
1.850000e+01,1.133000e+03,1.133091e-02
1.950000e+01,1.141000e+03,1.141091e-02
2.050000e+01,1.166000e+03,1.166093e-02
2.150000e+01,1.177000e+03,1.177094e-02
2.250000e+01,1.168000e+03,1.168093e-02
2.350000e+01,1.194000e+03,1.194096e-02
2.450000e+01,1.145000e+03,1.145092e-02
2.550000e+01,1.131000e+03,1.131090e-02
2.650000e+01,1.176000e+03,1.176094e-02
2.750000e+01,1.151000e+03,1.151092e-02
2.850000e+01,1.214000e+03,1.214097e-02
2.950000e+01,1.172000e+03,1.172094e-02
3.050000e+01,1.090000e+03,1.090087e-02
3.150000e+01,1.199000e+03,1.199096e-02
3.250000e+01,1.169000e+03,1.169094e-02
3.350000e+01,1.196000e+03,1.196096e-02
3.450000e+01,1.061000e+03,1.061085e-02
3.550000e+01,1.087000e+03,1.087087e-02
3.650000e+01,1.146000e+03,1.146092e-02
3.750000e+01,1.133000e+03,1.133091e-02
3.850000e+01,1.125000e+03,1.125090e-02
3.950000e+01,1.072000e+03,1.072086e-02
4.050000e+01,1.090000e+03,1.090087e-02
4.150000e+01,1.097000e+03,1.097088e-02
4.250000e+01,1.030000e+03,1.030082e-02
4.350000e+01,1.054000e+03,1.054084e-02
4.450000e+01,1.079000e+03,1.079086e-02
4.550000e+01,1.060000e+03,1.060085e-02
4.650000e+01,1.042000e+03,1.042083e-02
4.750000e+01,1.009000e+03,1.009081e-02
4.850000e+01,1.110000e+03,1.110089e-02
4.950000e+01,9.550000e+02,9.550764e-03
5.050000e+01,9.670000e+02,9.670774e-03
5.150000e+01,1.029000e+03,1.029082e-02
5.250000e+01,1.012000e+03,1.012081e-02
5.350000e+01,9.740000e+02,9.740779e-03
5.450000e+01,1.022000e+03,1.022082e-02
5.550000e+01,1.014000e+03,1.014081e-02
5.650000e+01,9.450000e+02,9.450756e-03
5.750000e+01,9.610000e+02,9.610769e-03
5.850000e+01,9.430000e+02,9.430754e-03
5.950000e+01,8.690000e+02,8.690695e-03
6.050000e+01,9.380000e+02,9.380750e-03
6.150000e+01,9.010000e+02,9.010721e-03
6.250000e+01,9.940000e+02,9.940795e-03
6.350000e+01,8.740000e+02,8.740699e-03
6.450000e+01,8.830000e+02,8.830706e-03
6.550000e+01,8.400000e+02,8.400672e-03
6.650000e+01,8.380000e+02,8.380670e-03
6.750000e+01,8.260000e+02,8.260661e-03
6.850000e+01,8.440000e+02,8.440675e-03
6.950000e+01,7.900000e+02,7.900632e-03
7.050000e+01,8.380000e+02,8.380670e-03
7.150000e+01,7.720000e+02,7.720618e-03
7.250000e+01,7.280000e+02,7.280582e-03
7.350000e+01,7.570000e+02,7.570606e-03
7.450000e+01,7.480000e+02,7.480598e-03
7.550000e+01,7.110000e+02,7.110569e-03
7.650000e+01,7.660000e+02,7.660613e-03
7.750000e+01,7.140000e+02,7.140571e-03
7.850000e+01,6.650000e+02,6.650532e-03
7.950000e+01,6.930000e+02,6.930554e-03
8.050000e+01,6.550000e+02,6.550524e-03
8.150000e+01,6.490000e+02,6.490519e-03
8.250000e+01,6.480000e+02,6.480518e-03
8.350000e+01,6.160000e+02,6.160493e-03
8.450000e+01,5.680000e+02,5.680454e-03
8.550000e+01,5.800000e+02,5.800464e-03
8.650000e+01,5.970000e+02,5.970478e-03
8.750000e+01,5.430000e+02,5.430434e-03
8.850000e+01,5.670000e+02,5.670454e-03
8.950000e+01,5.810000e+02,5.810465e-03
9.050000e+01,5.500000e+02,5.500440e-03
9.150000e+01,5.150000e+02,5.150412e-03
9.250000e+01,5.060000e+02,5.060405e-03
9.350000e+01,4.820000e+02,4.820386e-03
9.450000e+01,4.620000e+02,4.620370e-03
9.550000e+01,4.560000e+02,4.560365e-03
9.650000e+01,4.460000e+02,4.460357e-03
9.750000e+01,4.490000e+02,4.490359e-03
9.850000e+01,4.280000e+02,4.280342e-03
9.950000e+01,4.080000e+02,4.080326e-03
1.005000e+02,4.200000e+02,4.200336e-03
1.015000e+02,4.240000e+02,4.240339e-03
1.025000e+02,3.910000e+02,3.910313e-03
1.035000e+02,3.960000e+02,3.960317e-03
1.045000e+02,3.250000e+02,3.250260e-03
1.055000e+02,3.420000e+02,3.420274e-03
1.065000e+02,3.840000e+02,3.840307e-03
1.075000e+02,3.550000e+02,3.550284e-03
1.085000e+02,3.140000e+02,3.140251e-03
1.095000e+02,2.900000e+02,2.900232e-03
1.105000e+02,3.110000e+02,3.110249e-03
1.115000e+02,3.010000e+02,3.010241e-03
1.125000e+02,2.480000e+02,2.480198e-03
1.135000e+02,2.890000e+02,2.890231e-03
1.145000e+02,2.410000e+02,2.410193e-03
1.155000e+02,2.520000e+02,2.520202e-03
1.165000e+02,2.390000e+02,2.390191e-03
1.175000e+02,2.030000e+02,2.030162e-03
1.185000e+02,2.220000e+02,2.220178e-03
1.195000e+02,1.730000e+02,1.730138e-03
1.205000e+02,1.910000e+02,1.910153e-03
1.215000e+02,1.980000e+02,1.980158e-03
1.225000e+02,1.660000e+02,1.660133e-03
1.235000e+02,1.670000e+02,1.670134e-03
1.245000e+02,1.440000e+02,1.440115e-03
1.255000e+02,1.420000e+02,1.420114e-03
1.265000e+02,1.220000e+02,1.220098e-03
1.275000e+02,1.440000e+02,1.440115e-03
1.285000e+02,1.240000e+02,1.240099e-03
1.295000e+02,1.120000e+02,1.120090e-03
1.305000e+02,7.500000e+01,7.500600e-04
1.315000e+02,1.030000e+02,1.030082e-03
1.325000e+02,9.200000e+01,9.200736e-04
1.335000e+02,9.200000e+01,9.200736e-04
1.345000e+02,8.600000e+01,8.600688e-04
1.355000e+02,6.900000e+01,6.900552e-04
1.365000e+02,6.300000e+01,6.300504e-04
1.375000e+02,6.600000e+01,6.600528e-04
1.385000e+02,5.100000e+01,5.100408e-04
1.395000e+02,5.300000e+01,5.300424e-04
1.405000e+02,3.400000e+01,3.400272e-04
1.415000e+02,3.900000e+01,3.900312e-04
1.425000e+02,3.000000e+01,3.000240e-04
1.435000e+02,3.100000e+01,3.100248e-04
1.445000e+02,1.900000e+01,1.900152e-04
1.455000e+02,2.600000e+01,2.600208e-04
1.465000e+02,1.700000e+01,1.700136e-04
1.475000e+02,2.000000e+01,2.000160e-04
1.485000e+02,1.100000e+01,1.100088e-04
1.495000e+02,6.000000e+00,6.000480e-05
1.505000e+02,1.000000e+01,1.000080e-04
1.515000e+02,4.000000e+00,4.000320e-05
1.525000e+02,0.000000e+00,0.000000e+00
1.535000e+02,2.000000e+00,2.000160e-05
1.545000e+02,0.000000e+00,0.000000e+00
1.555000e+02,1.000000e+00,1.000080e-05
1.565000e+02,0.000000e+00,0.000000e+00
1.575000e+02,0.000000e+00,0.000000e+00
1.585000e+02,0.000000e+00,0.000000e+00
1.595000e+02,0.000000e+00,0.000000e+00
1.605000e+02,0.000000e+00,0.000000e+00
1.615000e+02,0.000000e+00,0.000000e+00
1.625000e+02,0.000000e+00,0.000000e+00
1.635000e+02,0.000000e+00,0.000000e+00
1.645000e+02,0.000000e+00,0.000000e+00
1.655000e+02,0.000000e+00,0.000000e+00
1.665000e+02,0.000000e+00,0.000000e+00
1.675000e+02,0.000000e+00,0.000000e+00
1.685000e+02,0.000000e+00,0.000000e+00
1.695000e+02,0.000000e+00,0.000000e+00
1.705000e+02,0.000000e+00,0.000000e+00
1.715000e+02,0.000000e+00,0.000000e+00
1.725000e+02,0.000000e+00,0.000000e+00
1.735000e+02,0.000000e+00,0.000000e+00
1.745000e+02,0.000000e+00,0.000000e+00
1.755000e+02,0.000000e+00,0.000000e+00
1.765000e+02,0.000000e+00,0.000000e+00
1.775000e+02,0.000000e+00,0.000000e+00
1.785000e+02,0.000000e+00,0.000000e+00
1.795000e+02,0.000000e+00,0.000000e+00
1.805000e+02,0.000000e+00,0.000000e+00
1.815000e+02,0.000000e+00,0.000000e+00
1.825000e+02,0.000000e+00,0.000000e+00
1.835000e+02,0.000000e+00,0.000000e+00
1.845000e+02,0.000000e+00,0.000000e+00
1.855000e+02,0.000000e+00,0.000000e+00
1.865000e+02,0.000000e+00,0.000000e+00
1.875000e+02,0.000000e+00,0.000000e+00
1.885000e+02,0.000000e+00,0.000000e+00
1.895000e+02,0.000000e+00,0.000000e+00
1.905000e+02,0.000000e+00,0.000000e+00
1.915000e+02,0.000000e+00,0.000000e+00
1.925000e+02,0.000000e+00,0.000000e+00
1.935000e+02,0.000000e+00,0.000000e+00
1.945000e+02,0.000000e+00,0.000000e+00
1.955000e+02,0.000000e+00,0.000000e+00
1.965000e+02,0.000000e+00,0.000000e+00
1.975000e+02,0.000000e+00,0.000000e+00
1.985000e+02,0.000000e+00,0.000000e+00
1.995000e+02,0.000000e+00,0.000000e+00
