# Geant4 depth energy profile
# NEvents: 99992
# BinWidth_um: 0.1
depth_um,dEdx_eV_per_um
5.000000e-02,4.797206e+03
1.500000e-01,4.562064e+03
2.500000e-01,4.403350e+03
3.500000e-01,4.360005e+03
4.500000e-01,4.297989e+03
5.500000e-01,4.325233e+03
6.500000e-01,4.118801e+03
7.500000e-01,4.085965e+03
8.500000e-01,4.018929e+03
9.500000e-01,3.940774e+03
1.050000e+00,3.909407e+03
1.150000e+00,3.860945e+03
1.250000e+00,3.725153e+03
1.350000e+00,3.729411e+03
1.450000e+00,3.706938e+03
1.550000e+00,3.637727e+03
1.650000e+00,3.630312e+03
1.750000e+00,3.498643e+03
1.850000e+00,3.532179e+03
1.950000e+00,3.494536e+03
2.050000e+00,3.477531e+03
2.150000e+00,3.407997e+03
2.250000e+00,3.342393e+03
2.350000e+00,3.245551e+03
2.450000e+00,3.257312e+03
2.550000e+00,3.271734e+03
2.650000e+00,3.213362e+03
2.750000e+00,3.131706e+03
2.850000e+00,3.157121e+03
2.950000e+00,3.137348e+03
3.050000e+00,3.100374e+03
3.150000e+00,3.026103e+03
3.250000e+00,3.042976e+03
3.350000e+00,3.025722e+03
3.450000e+00,2.957267e+03
3.550000e+00,2.955562e+03
3.650000e+00,2.880023e+03
3.750000e+00,2.855883e+03
3.850000e+00,2.864077e+03
3.950000e+00,2.807566e+03
4.050000e+00,2.789973e+03
4.150000e+00,2.747220e+03
4.250000e+00,2.730767e+03
4.350000e+00,2.664596e+03
4.450000e+00,2.691191e+03
4.550000e+00,2.659989e+03
4.650000e+00,2.611440e+03
4.750000e+00,2.573091e+03
4.850000e+00,2.630776e+03
4.950000e+00,2.535188e+03
5.050000e+00,2.513601e+03
5.150000e+00,2.505988e+03
5.250000e+00,2.465350e+03
5.350000e+00,2.477544e+03
5.450000e+00,2.451968e+03
5.550000e+00,2.407479e+03
5.650000e+00,2.359072e+03
5.750000e+00,2.332249e+03
5.850000e+00,2.340212e+03
5.950000e+00,2.344597e+03
6.050000e+00,2.255135e+03
6.150000e+00,2.269573e+03
6.250000e+00,2.219487e+03
6.350000e+00,2.305095e+03
6.450000e+00,2.208028e+03
6.550000e+00,2.234177e+03
6.650000e+00,2.185782e+03
6.750000e+00,2.231518e+03
6.850000e+00,2.153701e+03
6.950000e+00,2.148425e+03
7.050000e+00,2.113551e+03
7.150000e+00,2.115863e+03
7.250000e+00,2.085526e+03
7.350000e+00,2.053678e+03
7.450000e+00,2.057067e+03
7.550000e+00,2.017202e+03
7.650000e+00,2.023994e+03
7.750000e+00,1.987798e+03
7.850000e+00,2.026772e+03
7.950000e+00,1.942906e+03
8.050000e+00,1.949757e+03
8.150000e+00,1.912571e+03
8.250000e+00,1.925300e+03
8.350000e+00,1.893368e+03
8.450000e+00,1.884017e+03
8.550000e+00,1.877906e+03
8.650000e+00,1.842166e+03
8.750000e+00,1.798569e+03
8.850000e+00,1.804282e+03
8.950000e+00,1.791972e+03
9.050000e+00,1.777130e+03
9.150000e+00,1.797563e+03
9.250000e+00,1.728764e+03
9.350000e+00,1.728572e+03
9.450000e+00,1.732832e+03
9.550000e+00,1.711069e+03
9.650000e+00,1.705495e+03
9.750000e+00,1.634611e+03
9.850000e+00,1.648103e+03
9.950000e+00,1.673917e+03
1.005000e+01,1.686218e+03
1.015000e+01,1.647004e+03
1.025000e+01,1.640010e+03
1.035000e+01,1.605721e+03
1.045000e+01,1.603490e+03
1.055000e+01,1.541480e+03
1.065000e+01,1.578428e+03
1.075000e+01,1.542144e+03
1.085000e+01,1.534911e+03
1.095000e+01,1.538012e+03
1.105000e+01,1.512271e+03
1.115000e+01,1.517644e+03
1.125000e+01,1.481560e+03
1.135000e+01,1.413619e+03
1.145000e+01,1.389199e+03
1.155000e+01,1.417520e+03
1.165000e+01,1.400555e+03
1.175000e+01,1.410743e+03
1.185000e+01,1.393022e+03
1.195000e+01,1.385059e+03
1.205000e+01,1.347032e+03
1.215000e+01,1.400966e+03
1.225000e+01,1.353127e+03
1.235000e+01,1.346521e+03
1.245000e+01,1.292647e+03
1.255000e+01,1.299825e+03
1.265000e+01,1.286111e+03
1.275000e+01,1.311695e+03
1.285000e+01,1.269518e+03
1.295000e+01,1.298455e+03
1.305000e+01,1.251286e+03
1.315000e+01,1.276743e+03
1.325000e+01,1.249433e+03
1.335000e+01,1.223522e+03
1.345000e+01,1.235338e+03
1.355000e+01,1.185386e+03
1.365000e+01,1.203382e+03
1.375000e+01,1.183750e+03
1.385000e+01,1.166220e+03
1.395000e+01,1.134454e+03
1.405000e+01,1.153246e+03
1.415000e+01,1.119502e+03
1.425000e+01,1.136864e+03
1.435000e+01,1.120322e+03
1.445000e+01,1.121856e+03
1.455000e+01,1.080265e+03
1.465000e+01,1.096427e+03
1.475000e+01,1.060998e+03
1.485000e+01,1.049681e+03
1.495000e+01,1.024162e+03
1.505000e+01,1.059003e+03
1.515000e+01,1.029230e+03
1.525000e+01,1.040487e+03
1.535000e+01,1.036083e+03
1.545000e+01,1.026731e+03
1.555000e+01,9.859794e+02
1.565000e+01,9.943851e+02
1.575000e+01,1.034808e+03
1.585000e+01,1.000634e+03
1.595000e+01,1.011044e+03
1.605000e+01,9.778681e+02
1.615000e+01,9.733656e+02
1.625000e+01,9.411943e+02
1.635000e+01,9.341893e+02
1.645000e+01,9.021623e+02
1.655000e+01,9.289032e+02
1.665000e+01,9.206484e+02
1.675000e+01,9.316506e+02
1.685000e+01,9.176307e+02
1.695000e+01,8.961929e+02
1.705000e+01,8.885362e+02
1.715000e+01,8.447207e+02
1.725000e+01,8.855396e+02
1.735000e+01,8.499897e+02
1.745000e+01,8.812382e+02
1.755000e+01,8.385875e+02
1.765000e+01,8.627624e+02
1.775000e+01,8.474359e+02
1.785000e+01,8.576454e+02
1.795000e+01,8.276924e+02
1.805000e+01,8.314584e+02
1.815000e+01,8.173799e+02
1.825000e+01,7.938157e+02
1.835000e+01,8.169446e+02
1.845000e+01,8.068634e+02
1.855000e+01,8.390311e+02
1.865000e+01,8.112259e+02
1.875000e+01,8.012850e+02
1.885000e+01,7.895021e+02
1.895000e+01,8.046682e+02
1.905000e+01,7.622681e+02
1.915000e+01,7.924839e+02
1.925000e+01,7.709012e+02
1.935000e+01,7.531965e+02
1.945000e+01,7.382039e+02
1.955000e+01,7.461464e+02
1.965000e+01,7.286442e+02
1.975000e+01,7.405119e+02
1.985000e+01,7.537172e+02
1.995000e+01,7.293640e+02
2.005000e+01,6.926163e+02
2.015000e+01,7.244085e+02
2.025000e+01,7.061068e+02
2.035000e+01,6.963164e+02
2.045000e+01,6.832708e+02
2.055000e+01,6.960060e+02
2.065000e+01,6.981498e+02
2.075000e+01,6.733376e+02
2.085000e+01,7.012660e+02
2.095000e+01,6.761052e+02
2.105000e+01,6.597900e+02
2.115000e+01,6.885690e+02
2.125000e+01,6.642271e+02
2.135000e+01,6.228383e+02
2.145000e+01,6.468811e+02
2.155000e+01,6.140083e+02
2.165000e+01,6.072162e+02
2.175000e+01,6.046148e+02
2.185000e+01,5.954662e+02
2.195000e+01,6.078463e+02
2.205000e+01,5.892485e+02
2.215000e+01,5.727417e+02
2.225000e+01,5.998536e+02
2.235000e+01,5.827631e+02
2.245000e+01,5.928658e+02
2.255000e+01,5.789274e+02
2.265000e+01,5.614017e+02
2.275000e+01,5.819452e+02
2.285000e+01,5.329956e+02
2.295000e+01,5.140450e+02
2.305000e+01,5.206047e+02
2.315000e+01,5.260602e+02
2.325000e+01,5.251563e+02
2.335000e+01,5.489199e+02
2.345000e+01,5.289719e+02
2.355000e+01,5.289117e+02
2.365000e+01,5.335723e+02
2.375000e+01,5.334980e+02
2.385000e+01,5.097694e+02
2.395000e+01,4.990150e+02
2.405000e+01,5.042190e+02
2.415000e+01,5.168684e+02
2.425000e+01,5.081606e+02
2.435000e+01,4.982278e+02
2.445000e+01,5.260542e+02
2.455000e+01,5.183158e+02
2.465000e+01,4.704850e+02
2.475000e+01,4.857292e+02
2.485000e+01,4.648974e+02
2.495000e+01,4.935599e+02
2.505000e+01,4.665559e+02
2.515000e+01,4.566198e+02
2.525000e+01,4.770300e+02
2.535000e+01,4.424922e+02
2.545000e+01,4.519890e+02
2.555000e+01,4.538570e+02
2.565000e+01,4.488205e+02
2.575000e+01,4.334280e+02
2.585000e+01,4.401016e+02
2.595000e+01,4.242352e+02
2.605000e+01,4.134998e+02
2.615000e+01,4.081417e+02
2.625000e+01,3.859718e+02
2.635000e+01,4.231140e+02
2.645000e+01,4.313562e+02
2.655000e+01,3.948449e+02
2.665000e+01,4.099740e+02
2.675000e+01,3.990773e+02
2.685000e+01,3.922018e+02
2.695000e+01,3.771891e+02
2.705000e+01,3.872488e+02
2.715000e+01,3.891810e+02
2.725000e+01,3.679754e+02
2.735000e+01,3.977146e+02
2.745000e+01,3.886993e+02
2.755000e+01,3.864417e+02
2.765000e+01,3.725335e+02
2.775000e+01,3.671099e+02
2.785000e+01,3.708424e+02
2.795000e+01,3.486685e+02
2.805000e+01,3.498499e+02
2.815000e+01,3.371515e+02
2.825000e+01,3.394862e+02
2.835000e+01,3.423929e+02
2.845000e+01,3.500546e+02
2.855000e+01,3.418741e+02
2.865000e+01,3.623345e+02
2.875000e+01,3.299768e+02
2.885000e+01,3.428000e+02
2.895000e+01,3.435644e+02
2.905000e+01,3.407047e+02
2.915000e+01,3.282000e+02
2.925000e+01,3.088601e+02
2.935000e+01,3.110460e+02
2.945000e+01,3.187883e+02
2.955000e+01,3.060654e+02
2.965000e+01,3.196937e+02
2.975000e+01,2.901571e+02
2.985000e+01,2.821341e+02
2.995000e+01,2.935924e+02
3.005000e+01,2.770090e+02
3.015000e+01,2.943336e+02
3.025000e+01,2.904714e+02
3.035000e+01,2.965750e+02
3.045000e+01,2.947371e+02
3.055000e+01,2.772685e+02
3.065000e+01,2.809059e+02
3.075000e+01,2.792171e+02
3.085000e+01,3.014107e+02
3.095000e+01,2.878212e+02
3.105000e+01,2.821145e+02
3.115000e+01,2.760073e+02
3.125000e+01,2.582716e+02
3.135000e+01,2.712969e+02
3.145000e+01,2.696441e+02
3.155000e+01,2.560455e+02
3.165000e+01,2.535499e+02
3.175000e+01,2.592769e+02
3.185000e+01,2.746093e+02
3.195000e+01,2.420432e+02
3.205000e+01,2.452415e+02
3.215000e+01,2.597907e+02
3.225000e+01,2.691298e+02
3.235000e+01,2.443752e+02
3.245000e+01,2.438812e+02
3.255000e+01,2.472207e+02
3.265000e+01,2.455351e+02
3.275000e+01,2.465194e+02
3.285000e+01,2.579988e+02
3.295000e+01,2.254643e+02
3.305000e+01,2.339809e+02
3.315000e+01,2.484189e+02
3.325000e+01,2.214374e+02
3.335000e+01,2.254463e+02
3.345000e+01,2.319497e+02
3.355000e+01,2.218256e+02
3.365000e+01,2.268446e+02
3.375000e+01,2.366898e+02
3.385000e+01,2.196322e+02
3.395000e+01,2.117000e+02
3.405000e+01,2.134157e+02
3.415000e+01,2.103739e+02
3.425000e+01,2.196764e+02
3.435000e+01,1.997954e+02
3.445000e+01,2.043475e+02
3.455000e+01,1.970578e+02
3.465000e+01,1.997594e+02
3.475000e+01,2.117613e+02
3.485000e+01,1.929674e+02
3.495000e+01,1.818767e+02
3.505000e+01,2.017927e+02
3.515000e+01,2.085167e+02
3.525000e+01,2.138957e+02
3.535000e+01,1.910913e+02
3.545000e+01,1.825698e+02
3.555000e+01,1.881293e+02
3.565000e+01,1.812213e+02
3.575000e+01,1.821423e+02
3.585000e+01,1.909599e+02
3.595000e+01,1.806984e+02
3.605000e+01,1.762146e+02
3.615000e+01,1.814085e+02
3.625000e+01,1.911265e+02
3.635000e+01,1.807796e+02
3.645000e+01,1.783217e+02
3.655000e+01,1.709409e+02
3.665000e+01,1.654442e+02
3.675000e+01,1.712024e+02
3.685000e+01,1.719364e+02
3.695000e+01,1.557263e+02
3.705000e+01,1.823547e+02
3.715000e+01,1.767567e+02
3.725000e+01,1.858663e+02
3.735000e+01,1.675700e+02
3.745000e+01,1.638401e+02
3.755000e+01,1.635141e+02
3.765000e+01,1.571345e+02
3.775000e+01,1.601996e+02
3.785000e+01,1.550972e+02
3.795000e+01,1.537972e+02
3.805000e+01,1.432011e+02
3.815000e+01,1.618336e+02
3.825000e+01,1.533917e+02
3.835000e+01,1.521464e+02
3.845000e+01,1.382924e+02
3.855000e+01,1.473290e+02
3.865000e+01,1.317558e+02
3.875000e+01,1.420879e+02
3.885000e+01,1.365573e+02
3.895000e+01,1.387349e+02
3.905000e+01,1.399285e+02
3.915000e+01,1.367343e+02
3.925000e+01,1.302572e+02
3.935000e+01,1.320214e+02
3.945000e+01,1.338140e+02
3.955000e+01,1.270141e+02
3.965000e+01,1.227705e+02
3.975000e+01,1.376763e+02
3.985000e+01,1.257545e+02
3.995000e+01,1.320554e+02
4.005000e+01,1.258729e+02
4.015000e+01,1.225719e+02
4.025000e+01,1.189218e+02
4.035000e+01,1.180115e+02
4.045000e+01,1.196259e+02
4.055000e+01,1.248061e+02
4.065000e+01,1.170358e+02
4.075000e+01,1.129912e+02
4.085000e+01,1.013200e+02
4.095000e+01,1.119602e+02
4.105000e+01,1.074054e+02
4.115000e+01,1.127145e+02
4.125000e+01,1.140510e+02
4.135000e+01,1.136500e+02
4.145000e+01,1.081961e+02
4.155000e+01,1.113848e+02
4.165000e+01,1.097803e+02
4.175000e+01,1.098531e+02
4.185000e+01,1.045751e+02
4.195000e+01,9.482175e+01
4.205000e+01,1.005441e+02
4.215000e+01,1.010791e+02
4.225000e+01,1.129996e+02
4.235000e+01,9.596290e+01
4.245000e+01,9.991143e+01
4.255000e+01,9.630690e+01
4.265000e+01,9.574021e+01
4.275000e+01,8.843000e+01
4.285000e+01,8.975555e+01
4.295000e+01,1.054138e+02
4.305000e+01,9.052832e+01
4.315000e+01,8.714381e+01
4.325000e+01,8.791256e+01
4.335000e+01,9.138180e+01
4.345000e+01,9.116602e+01
4.355000e+01,9.094375e+01
4.365000e+01,9.489368e+01
4.375000e+01,8.038568e+01
4.385000e+01,8.343053e+01
4.395000e+01,7.945683e+01
4.405000e+01,8.089893e+01
4.415000e+01,8.668891e+01
4.425000e+01,7.713125e+01
4.435000e+01,8.953272e+01
4.445000e+01,7.928563e+01
4.455000e+01,8.212357e+01
4.465000e+01,8.242935e+01
4.475000e+01,7.488857e+01
4.485000e+01,7.734464e+01
4.495000e+01,7.881566e+01
4.505000e+01,7.078442e+01
4.515000e+01,7.736417e+01
4.525000e+01,7.747358e+01
4.535000e+01,7.212939e+01
4.545000e+01,8.797980e+01
4.555000e+01,7.858979e+01
4.565000e+01,8.009680e+01
4.575000e+01,6.866924e+01
4.585000e+01,6.707037e+01
4.595000e+01,7.324909e+01
4.605000e+01,6.585067e+01
4.615000e+01,7.253073e+01
4.625000e+01,7.016904e+01
4.635000e+01,6.986634e+01
4.645000e+01,6.300556e+01
4.655000e+01,6.657354e+01
4.665000e+01,5.697399e+01
4.675000e+01,5.794711e+01
4.685000e+01,5.957605e+01
4.695000e+01,5.738316e+01
4.705000e+01,5.689916e+01
4.715000e+01,5.960746e+01
4.725000e+01,6.107927e+01
4.735000e+01,5.534181e+01
4.745000e+01,5.679694e+01
4.755000e+01,7.465508e+01
4.765000e+01,6.728016e+01
4.775000e+01,6.005504e+01
4.785000e+01,5.735594e+01
4.795000e+01,5.936133e+01
4.805000e+01,6.003452e+01
4.815000e+01,5.331931e+01
4.825000e+01,7.190479e+01
4.835000e+01,4.757426e+01
4.845000e+01,6.460821e+01
4.855000e+01,5.668341e+01
4.865000e+01,5.166410e+01
4.875000e+01,5.462441e+01
4.885000e+01,4.838341e+01
4.895000e+01,5.444189e+01
4.905000e+01,5.340796e+01
4.915000e+01,4.780080e+01
4.925000e+01,5.023979e+01
4.935000e+01,4.688147e+01
4.945000e+01,4.615566e+01
4.955000e+01,4.638563e+01
4.965000e+01,4.975804e+01
4.975000e+01,4.628531e+01
4.985000e+01,4.781854e+01
4.995000e+01,4.949240e+01
5.005000e+01,4.488346e+01
5.015000e+01,4.419859e+01
5.025000e+01,4.186460e+01
5.035000e+01,4.422638e+01
5.045000e+01,3.917297e+01
5.055000e+01,3.568966e+01
5.065000e+01,3.911990e+01
5.075000e+01,3.676665e+01
5.085000e+01,3.999093e+01
5.095000e+01,3.683471e+01
5.105000e+01,4.404163e+01
5.115000e+01,3.367989e+01
5.125000e+01,4.472159e+01
5.135000e+01,4.025083e+01
5.145000e+01,3.778365e+01
5.155000e+01,3.504765e+01
5.165000e+01,3.362928e+01
5.175000e+01,3.495555e+01
5.185000e+01,3.879607e+01
5.195000e+01,3.242745e+01
5.205000e+01,3.721281e+01
5.215000e+01,3.172527e+01
5.225000e+01,3.187877e+01
5.235000e+01,3.698047e+01
5.245000e+01,3.267167e+01
5.255000e+01,3.109197e+01
5.265000e+01,4.130892e+01
5.275000e+01,3.205313e+01
5.285000e+01,3.532042e+01
5.295000e+01,3.447150e+01
5.305000e+01,3.575988e+01
5.315000e+01,3.222859e+01
5.325000e+01,3.486629e+01
5.335000e+01,3.146594e+01
5.345000e+01,2.962259e+01
5.355000e+01,3.324027e+01
5.365000e+01,3.086593e+01
5.375000e+01,3.421658e+01
5.385000e+01,3.114925e+01
5.395000e+01,2.713913e+01
5.405000e+01,2.635686e+01
5.415000e+01,2.283230e+01
5.425000e+01,2.919469e+01
5.435000e+01,2.839367e+01
5.445000e+01,2.874277e+01
5.455000e+01,3.075411e+01
5.465000e+01,3.135112e+01
5.475000e+01,2.716122e+01
5.485000e+01,3.114021e+01
5.495000e+01,2.854972e+01
5.505000e+01,2.802353e+01
5.515000e+01,2.262920e+01
5.525000e+01,2.542758e+01
5.535000e+01,1.953581e+01
5.545000e+01,2.310233e+01
5.555000e+01,2.621698e+01
5.565000e+01,3.059046e+01
5.575000e+01,2.449395e+01
5.585000e+01,2.415545e+01
5.595000e+01,2.604115e+01
5.605000e+01,2.899397e+01
5.615000e+01,2.042698e+01
5.625000e+01,2.557790e+01
5.635000e+01,2.165342e+01
5.645000e+01,2.473895e+01
5.655000e+01,2.306109e+01
5.665000e+01,1.977376e+01
