# Geant4 depth energy profile
# NEvents: 19336
# BinWidth_um: 0.1
depth_um,dEdx_eV_per_um
5.000000e-02,1.538765e+03
1.500000e-01,1.571022e+03
2.500000e-01,1.529748e+03
3.500000e-01,1.548771e+03
4.500000e-01,1.634034e+03
5.500000e-01,1.897606e+03
6.500000e-01,1.763392e+03
7.500000e-01,1.782629e+03
8.500000e-01,1.790013e+03
9.500000e-01,1.805771e+03
1.050000e+00,1.702814e+03
1.150000e+00,1.796947e+03
1.250000e+00,1.728995e+03
1.350000e+00,1.847322e+03
1.450000e+00,1.927592e+03
1.550000e+00,1.980331e+03
1.650000e+00,2.035721e+03
1.750000e+00,1.899761e+03
1.850000e+00,1.954389e+03
1.950000e+00,1.960052e+03
2.050000e+00,1.916494e+03
2.150000e+00,1.986270e+03
2.250000e+00,2.011172e+03
2.350000e+00,2.056742e+03
2.450000e+00,2.050782e+03
2.550000e+00,2.219415e+03
2.650000e+00,2.192310e+03
2.750000e+00,2.158902e+03
2.850000e+00,2.279737e+03
2.950000e+00,2.124933e+03
3.050000e+00,2.230341e+03
3.150000e+00,2.230297e+03
3.250000e+00,2.284030e+03
3.350000e+00,2.224164e+03
3.450000e+00,2.257606e+03
3.550000e+00,2.330315e+03
3.650000e+00,2.419983e+03
3.750000e+00,2.388538e+03
3.850000e+00,2.377580e+03
3.950000e+00,2.247231e+03
4.050000e+00,2.356230e+03
4.150000e+00,2.260687e+03
4.250000e+00,2.437218e+03
4.350000e+00,2.412579e+03
4.450000e+00,2.456570e+03
4.550000e+00,2.547155e+03
4.650000e+00,2.463114e+03
4.750000e+00,2.438458e+03
4.850000e+00,2.611751e+03
4.950000e+00,2.471201e+03
5.050000e+00,2.511054e+03
5.150000e+00,2.555319e+03
5.250000e+00,2.498940e+03
5.350000e+00,2.604796e+03
5.450000e+00,2.726778e+03
5.550000e+00,2.664892e+03
5.650000e+00,2.596250e+03
5.750000e+00,2.552922e+03
5.850000e+00,2.596344e+03
5.950000e+00,2.735973e+03
6.050000e+00,2.656452e+03
6.150000e+00,2.628713e+03
6.250000e+00,2.638397e+03
6.350000e+00,2.874294e+03
6.450000e+00,2.708624e+03
6.550000e+00,2.710444e+03
6.650000e+00,2.781311e+03
6.750000e+00,2.826874e+03
6.850000e+00,2.843735e+03
6.950000e+00,2.745498e+03
7.050000e+00,2.791131e+03
7.150000e+00,2.832683e+03
7.250000e+00,2.788515e+03
7.350000e+00,2.863466e+03
7.450000e+00,2.981399e+03
7.550000e+00,2.872160e+03
7.650000e+00,2.913506e+03
7.750000e+00,2.906444e+03
7.850000e+00,3.100774e+03
7.950000e+00,2.906520e+03
8.050000e+00,2.987096e+03
8.150000e+00,3.046143e+03
8.250000e+00,3.030398e+03
8.350000e+00,2.949262e+03
8.450000e+00,3.099060e+03
8.550000e+00,3.007542e+03
8.650000e+00,2.992923e+03
8.750000e+00,2.932796e+03
8.850000e+00,3.107490e+03
8.950000e+00,3.008642e+03
9.050000e+00,3.134210e+03
9.150000e+00,3.145525e+03
9.250000e+00,2.950715e+03
9.350000e+00,3.062116e+03
9.450000e+00,3.066212e+03
9.550000e+00,2.964204e+03
9.650000e+00,3.121817e+03
9.750000e+00,3.024994e+03
9.850000e+00,3.128729e+03
9.950000e+00,3.219210e+03
1.005000e+01,3.268794e+03
1.015000e+01,3.138796e+03
1.025000e+01,3.179195e+03
1.035000e+01,3.174909e+03
1.045000e+01,3.154348e+03
1.055000e+01,3.081882e+03
1.065000e+01,3.196993e+03
1.075000e+01,3.133002e+03
1.085000e+01,3.235730e+03
1.095000e+01,3.219399e+03
1.105000e+01,3.189502e+03
1.115000e+01,3.155234e+03
1.125000e+01,3.155051e+03
1.135000e+01,3.099416e+03
1.145000e+01,3.042616e+03
1.155000e+01,3.022511e+03
1.165000e+01,3.124350e+03
1.175000e+01,3.188097e+03
1.185000e+01,3.151263e+03
1.195000e+01,3.240514e+03
1.205000e+01,3.098739e+03
1.215000e+01,3.334087e+03
1.225000e+01,3.117647e+03
1.235000e+01,3.245304e+03
1.245000e+01,3.031668e+03
1.255000e+01,3.076297e+03
1.265000e+01,3.126644e+03
1.275000e+01,3.321037e+03
1.285000e+01,3.109167e+03
1.295000e+01,3.399697e+03
1.305000e+01,3.199765e+03
1.315000e+01,3.278559e+03
1.325000e+01,3.114779e+03
1.335000e+01,3.065683e+03
1.345000e+01,3.180926e+03
1.355000e+01,3.034823e+03
1.365000e+01,3.196279e+03
1.375000e+01,3.273129e+03
1.385000e+01,3.207723e+03
1.395000e+01,3.030792e+03
1.405000e+01,3.209815e+03
1.415000e+01,3.129408e+03
1.425000e+01,3.223563e+03
1.435000e+01,3.078628e+03
1.445000e+01,3.076020e+03
1.455000e+01,3.046267e+03
1.465000e+01,3.188265e+03
1.475000e+01,3.054658e+03
1.485000e+01,3.056039e+03
1.495000e+01,2.975226e+03
1.505000e+01,3.212133e+03
1.515000e+01,3.049874e+03
1.525000e+01,3.182566e+03
