# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
-0.0250,-0.0150,6.300,4.7410e+01
-0.0350,-0.0050,32.900,3.5660e+03
-0.0350,-0.0050,32.700,3.8345e+03
-0.0350,-0.0050,32.500,3.1604e+03
-0.0150,-0.0050,18.700,4.0300e+01
-0.0150,-0.0350,14.700,7.3370e+03
-0.0150,-0.0350,14.500,1.4485e+03
-0.0150,-0.0350,14.300,2.9142e+03
0.0050,0.0150,16.100,7.5045e+03
-0.0050,0.0550,8.100,4.0300e+01
-0.0450,0.0550,16.500,2.4534e+03
-0.0150,-0.0150,8.900,2.1968e+03
-0.0150,-0.0150,8.700,7.1530e+03
-0.0150,-0.0150,8.300,1.3646e+03
-0.0150,-0.0150,8.100,1.7786e+03
0.0150,0.0150,1.900,1.3536e+03
0.0150,0.0150,1.700,2.7989e+03
0.0150,0.0150,1.300,1.1787e+03
0.0150,0.0150,1.500,1.7819e+03
0.0250,-0.0150,25.700,8.2951e+03
-0.0150,0.0050,13.900,1.0180e+03
-0.0150,0.0050,13.700,1.3761e+04
-0.0150,0.0050,13.500,7.3427e+02
-0.0150,0.0050,13.100,8.2709e+02
-0.0150,-0.0150,6.900,2.2073e+03
-0.0150,-0.0150,7.100,1.7538e+03
-0.0150,-0.0150,8.500,1.9302e+03
0.0250,-0.0050,18.700,6.4964e+03
0.0250,-0.0050,18.900,2.4922e+03
-0.0250,-0.0350,40.500,3.3448e+03
-0.0250,-0.0350,40.700,6.5893e+03
-0.0250,-0.0350,40.900,2.0891e+03
0.1050,0.0050,34.500,7.0503e+03
0.1050,0.0050,34.900,3.6812e+03
0.1050,0.0050,35.100,2.4159e+03
-0.0150,0.0050,13.300,1.0543e+03
0.0350,0.0150,11.100,4.6230e+01
0.0050,0.0050,17.500,1.3487e+04
-0.0150,-0.0150,4.100,7.4737e+03
0.0150,-0.0650,15.500,8.3719e+03
0.0150,0.0150,3.500,8.9573e+03
-0.0150,-0.0050,11.300,2.6612e+03
-0.0150,-0.0050,11.100,2.7418e+03
-0.0250,0.0050,17.300,5.4861e+03
-0.0250,0.0050,17.100,2.1178e+03
0.0150,0.0150,12.500,7.5375e+03
-0.0050,0.0050,17.500,5.7111e+03
-0.0050,0.0050,17.300,4.9587e+03
-0.0050,0.0050,17.100,1.5298e+04
-0.0150,-0.0150,3.300,3.7716e+03
-0.0150,-0.0150,3.500,3.6009e+03
0.1050,0.0050,34.700,1.6971e+03
-0.0250,-0.0250,0.100,6.1172e+03
-0.0850,-0.0650,82.300,3.1166e+03
-0.0850,-0.0650,82.100,3.3696e+03
