cathode TotalCurrent(10um_0.5V_Nt0n67_des) X,cathode TotalCurrent(10um_0.5V_Nt0n67_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e11n95_des) X,cathode TotalCurrent(10um_0.5V_Nt1e11n95_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e12n108_des) X,cathode TotalCurrent(10um_0.5V_Nt1e12n108_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e13n121_des) X,cathode TotalCurrent(10um_0.5V_Nt1e13n121_des) Y,cathode TotalCurrent(10um_0.5V_Nt5e13n134_des) X,cathode TotalCurrent(10um_0.5V_Nt5e13n134_des) Y,cathode TotalCurrent(20um_2V_Nt0n70_des) X,cathode TotalCurrent(20um_2V_Nt0n70_des) Y,cathode TotalCurrent(20um_2V_Nt1e11n96_des) X,cathode TotalCurrent(20um_2V_Nt1e11n96_des) Y,cathode TotalCurrent(20um_2V_Nt1e12n109_des) X,cathode TotalCurrent(20um_2V_Nt1e12n109_des) Y,cathode TotalCurrent(20um_2V_Nt1e13n122_des) X,cathode TotalCurrent(20um_2V_Nt1e13n122_des) Y,cathode TotalCurrent(20um_2V_Nt5e13n135_des) X,cathode TotalCurrent(20um_2V_Nt5e13n135_des) Y,cathode TotalCurrent(30um_5V_Nt0n56_des) X,cathode TotalCurrent(30um_5V_Nt0n56_des) Y,cathode TotalCurrent(30um_5V_Nt1e11n97_des) X,cathode TotalCurrent(30um_5V_Nt1e11n97_des) Y,cathode TotalCurrent(30um_5V_Nt1e12n110_des) X,cathode TotalCurrent(30um_5V_Nt1e12n110_des) Y,cathode TotalCurrent(30um_5V_Nt1e13n123_des) X,cathode TotalCurrent(30um_5V_Nt1e13n123_des) Y,cathode TotalCurrent(30um_5V_Nt5e13n136_des) X,cathode TotalCurrent(30um_5V_Nt5e13n136_des) Y,cathode TotalCurrent(40um_8V_Nt0n77_des) X,cathode TotalCurrent(40um_8V_Nt0n77_des) Y,cathode TotalCurrent(40um_8V_Nt1e11n98_des) X,cathode TotalCurrent(40um_8V_Nt1e11n98_des) Y,cathode TotalCurrent(40um_8V_Nt1e12n111_des) X,cathode TotalCurrent(40um_8V_Nt1e12n111_des) Y,cathode TotalCurrent(40um_8V_Nt1e13n124_des) X,cathode TotalCurrent(40um_8V_Nt1e13n124_des) Y,cathode TotalCurrent(40um_8V_Nt5e13n137_des) X,cathode TotalCurrent(40um_8V_Nt5e13n137_des) Y,cathode TotalCurrent(50um_13V_Nt0n81_des) X,cathode TotalCurrent(50um_13V_Nt0n81_des) Y,cathode TotalCurrent(50um_13V_Nt1e11n99_des) X,cathode TotalCurrent(50um_13V_Nt1e11n99_des) Y,cathode TotalCurrent(50um_13V_Nt1e12n112_des) X,cathode TotalCurrent(50um_13V_Nt1e12n112_des) Y,cathode TotalCurrent(50um_13V_Nt1e13n125_des) X,cathode TotalCurrent(50um_13V_Nt1e13n125_des) Y,cathode TotalCurrent(50um_13V_Nt5e13n138_des) X,cathode TotalCurrent(50um_13V_Nt5e13n138_des) Y,cathode TotalCurrent(60um_19V_Nt0n59_des) X,cathode TotalCurrent(60um_19V_Nt0n59_des) Y,cathode TotalCurrent(60um_19V_Nt1e11n100_des) X,cathode TotalCurrent(60um_19V_Nt1e11n100_des) Y,cathode TotalCurrent(60um_19V_Nt1e12n113_des) X,cathode TotalCurrent(60um_19V_Nt1e12n113_des) Y,cathode TotalCurrent(60um_19V_Nt1e13n126_des) X,cathode TotalCurrent(60um_19V_Nt1e13n126_des) Y,cathode TotalCurrent(60um_19V_Nt5e13n139_des) X,cathode TotalCurrent(60um_19V_Nt5e13n139_des) Y,cathode TotalCurrent(70um_26V_Nt0n60_des) X,cathode TotalCurrent(70um_26V_Nt0n60_des) Y,cathode TotalCurrent(70um_26V_Nt1e11n101_des) X,cathode TotalCurrent(70um_26V_Nt1e11n101_des) Y,cathode TotalCurrent(70um_26V_Nt1e12n114_des) X,cathode TotalCurrent(70um_26V_Nt1e12n114_des) Y,cathode TotalCurrent(70um_26V_Nt1e13n127_des) X,cathode TotalCurrent(70um_26V_Nt1e13n127_des) Y,cathode TotalCurrent(70um_26V_Nt5e13n140_des) X,cathode TotalCurrent(70um_26V_Nt5e13n140_des) Y,cathode TotalCurrent(80um_33V_Nt0n61_des) X,cathode TotalCurrent(80um_33V_Nt0n61_des) Y,cathode TotalCurrent(80um_33V_Nt1e11n102_des) X,cathode TotalCurrent(80um_33V_Nt1e11n102_des) Y,cathode TotalCurrent(80um_33V_Nt1e12n115_des) X,cathode TotalCurrent(80um_33V_Nt1e12n115_des) Y,cathode TotalCurrent(80um_33V_Nt1e13n128_des) X,cathode TotalCurrent(80um_33V_Nt1e13n128_des) Y,cathode TotalCurrent(80um_33V_Nt5e13n141_des) X,cathode TotalCurrent(80um_33V_Nt5e13n141_des) Y,cathode TotalCurrent(90um_42V_Nt0n62_des) X,cathode TotalCurrent(90um_42V_Nt0n62_des) Y,cathode TotalCurrent(90um_42V_Nt1e11n103_des) X,cathode TotalCurrent(90um_42V_Nt1e11n103_des) Y,cathode TotalCurrent(90um_42V_Nt1e12n116_des) X,cathode TotalCurrent(90um_42V_Nt1e12n116_des) Y,cathode TotalCurrent(90um_42V_Nt1e13n129_des) X,cathode TotalCurrent(90um_42V_Nt1e13n129_des) Y,cathode TotalCurrent(90um_42V_Nt5e13n142_des) X,cathode TotalCurrent(90um_42V_Nt5e13n142_des) Y,cathode TotalCurrent(100um_52V_Nt0n63_des) X,cathode TotalCurrent(100um_52V_Nt0n63_des) Y,cathode TotalCurrent(100um_52V_Nt1e11n104_des) X,cathode TotalCurrent(100um_52V_Nt1e11n104_des) Y,cathode TotalCurrent(100um_52V_Nt1e12n117_des) X,cathode TotalCurrent(100um_52V_Nt1e12n117_des) Y
5e-12,6.5898917e-15,5e-12,7.0424018e-15,5e-12,2.7127597e-14,5e-12,-8.744024e-14,5e-12,-4.3829002e-13,5e-12,2.5180196e-14,5e-12,3.2036762e-15,5e-12,2.1867672e-15,5e-12,-3.4201269e-13,5e-12,2.1021341e-15,5e-12,6.6712921e-15,5e-12,7.5491984e-15,5e-12,8.128715e-15,5e-12,9.2932177e-15,5e-12,-3.2109722e-12,5e-12,4.1935217e-15,5e-12,2.9895998e-15,5e-12,5.3750641e-15,5e-12,-1.4245618e-14,5e-12,-5.8230068e-14,5e-12,-1.1881069e-14,5e-12,-1.1944976e-14,5e-12,-1.2839559e-14,5e-12,1.5802477e-13,5e-12,-1.5066505e-11,5e-12,-1.0612964e-14,5e-12,-9.306117e-15,5e-12,-1.0518222e-14,5e-12,-2.1055167e-11,5e-12,-2.29131e-11,5e-12,1.356604e-14,5e-12,1.338869e-14,5e-12,1.7256577e-14,5e-12,-5.2223159e-12,5e-12,-9.2966148e-13,5e-12,-2.1007844e-14,5e-12,-1.0957204e-14,5e-12,-1.2599026e-14,5e-12,-2.3483303e-14,5e-12,-3.5219486e-13,5e-12,2.0054282e-14,5e-12,1.4811314e-14,5e-12,-4.1301911e-14,5e-12,-1.1394842e-10,5e-12,-7.1202543e-10,5e-12,1.7030128e-14,5e-12,-1.9308748e-14,5e-12,-2.8679703e-14
1.15e-11,8.0246146e-16,1.15e-11,9.7084223e-16,1.15e-11,8.6515013e-16,1.15e-11,1.0221486e-15,1.15e-11,1.0755104e-15,1.15e-11,4.5031033e-16,1.15e-11,9.3484326e-16,1.15e-11,5.7400091e-16,1.15e-11,-2.8847929e-16,1.15e-11,-3.5391727e-16,1.15e-11,1.1640677e-15,1.15e-11,1.2626689e-16,1.15e-11,7.2128139e-16,1.15e-11,1.1927149e-15,1.15e-11,-4.5168302e-16,1.15e-11,8.3142979e-16,1.15e-11,8.0420881e-16,1.15e-11,1.0041907e-15,1.15e-11,8.6218097e-16,1.15e-11,4.702867e-16,1.15e-11,9.6147515e-16,1.15e-11,1.2261642e-15,1.15e-11,9.5894873e-16,1.15e-11,-1.0250068e-15,1.15e-11,-4.6367661e-16,1.15e-11,1.1776474e-15,1.15e-11,9.9316449e-16,1.15e-11,1.1865188e-15,1.15e-11,-3.6014131e-14,1.15e-11,-1.8141594e-15,1.15e-11,1.1702924e-15,1.15e-11,1.0928822e-15,1.15e-11,1.1826361e-15,1.15e-11,-1.1151879e-14,1.15e-11,4.971604e-16,1.15e-11,1.5929136e-15,1.15e-11,1.1286501e-15,1.15e-11,1.4898961e-15,1.15e-11,1.3951398e-15,1.15e-11,1.1868644e-15,1.15e-11,1.3529694e-15,1.15e-11,9.8594403e-16,1.15e-11,1.4106421e-15,1.15e-11,-1.477466e-13,1.15e-11,-3.5571931e-14,1.15e-11,8.7444894e-16,1.15e-11,1.1433393e-15,1.15e-11,1.5088046e-15
1.995e-11,1.3315336e-15,1.995e-11,1.307587e-15,1.995e-11,1.089387e-15,1.995e-11,1.3876602e-15,1.995e-11,1.2943559e-15,1.995e-11,1.939642e-15,1.995e-11,1.3674173e-15,1.995e-11,1.802039e-15,1.995e-11,9.4713747e-16,1.995e-11,1.2305307e-15,1.995e-11,1.1014769e-15,1.995e-11,1.3949138e-15,1.995e-11,1.9803345e-15,1.995e-11,1.28747e-15,1.995e-11,-1.4483308e-16,1.995e-11,1.5516248e-15,1.995e-11,1.4075094e-15,1.995e-11,1.6654244e-15,1.995e-11,1.3127243e-15,1.995e-11,1.0200287e-15,1.995e-11,1.9128311e-15,1.995e-11,1.8984383e-15,1.995e-11,1.9244791e-15,1.995e-11,1.6224792e-15,1.995e-11,-3.2337326e-16,1.995e-11,1.9066363e-15,1.995e-11,2.1497358e-15,1.995e-11,1.7905503e-15,1.995e-11,-2.3870371e-14,1.995e-11,-4.7814753e-16,1.995e-11,2.34736e-15,1.995e-11,2.2235063e-15,1.995e-11,2.3392807e-15,1.995e-11,-6.51911e-15,1.995e-11,1.4586223e-15,1.995e-11,2.3138611e-15,1.995e-11,2.372801e-15,1.995e-11,2.5406614e-15,1.995e-11,2.1195308e-15,1.995e-11,1.4540166e-15,1.995e-11,2.1716717e-15,1.995e-11,2.1375447e-15,1.995e-11,2.3156339e-15,1.995e-11,-1.0050526e-13,1.995e-11,-3.7304648e-14,1.995e-11,1.9901319e-15,1.995e-11,2.0407448e-15,1.995e-11,2.5984082e-15
3.0935e-11,1.9058324e-15,3.0935e-11,2.0718118e-15,3.0935e-11,1.9097688e-15,3.0935e-11,2.1746705e-15,3.0935e-11,2.5724399e-15,3.0935e-11,1.9638967e-15,3.0935e-11,1.4067204e-15,3.0935e-11,2.1846371e-15,3.0935e-11,1.5338673e-15,3.0935e-11,1.6458991e-15,3.0935e-11,2.1625104e-15,3.0935e-11,3.1733235e-15,3.0935e-11,2.1265222e-15,3.0935e-11,2.284222e-15,3.0935e-11,1.5254802e-15,3.0935e-11,2.4962484e-15,3.0935e-11,2.6746854e-15,3.0935e-11,2.5518514e-15,3.0935e-11,2.2215623e-15,3.0935e-11,1.688824e-15,3.0935e-11,2.7492565e-15,3.0935e-11,2.9142475e-15,3.0935e-11,2.8099755e-15,3.0935e-11,2.2925292e-15,3.0935e-11,1.2192316e-15,3.0935e-11,3.3888588e-15,3.0935e-11,3.2785495e-15,3.0935e-11,3.4874072e-15,3.0935e-11,-1.4230943e-14,3.0935e-11,1.5415224e-15,3.0935e-11,3.745907e-15,3.0935e-11,3.6930848e-15,3.0935e-11,3.8169911e-15,3.0935e-11,-2.2569905e-15,3.0935e-11,2.2441413e-15,3.0935e-11,4.0335882e-15,3.0935e-11,3.7928806e-15,3.0935e-11,3.8161753e-15,3.0935e-11,3.5097216e-15,3.0935e-11,2.45761e-15,3.0935e-11,3.8552613e-15,3.0935e-11,4.0122311e-15,3.0935e-11,4.0240946e-15,3.0935e-11,-6.4263469e-14,3.0935e-11,-9.249655e-15,3.0935e-11,3.7430437e-15,3.0935e-11,4.0137115e-15,3.0935e-11,4.2092807e-15
4.52155e-11,3.4777486e-15,4.52155e-11,3.4917409e-15,4.52155e-11,3.4636558e-15,4.52155e-11,3.3972149e-15,4.52155e-11,3.2490738e-15,4.52155e-11,2.737633e-15,4.52155e-11,2.9331681e-15,4.52155e-11,3.7440592e-15,4.52155e-11,3.2997443e-15,4.52155e-11,2.9203422e-15,4.52155e-11,3.7797365e-15,4.52155e-11,3.5587888e-15,4.52155e-11,3.2142455e-15,4.52155e-11,3.4783655e-15,4.52155e-11,2.2284611e-15,4.52155e-11,4.1107988e-15,4.52155e-11,4.0705793e-15,4.52155e-11,3.9925386e-15,4.52155e-11,3.5387478e-15,4.52155e-11,2.5734062e-15,4.52155e-11,4.8472181e-15,4.52155e-11,4.6074925e-15,4.52155e-11,4.6056025e-15,4.52155e-11,3.9619071e-15,4.52155e-11,2.8820869e-15,4.52155e-11,5.3198709e-15,4.52155e-11,5.2516549e-15,4.52155e-11,5.2248865e-15,4.52155e-11,-7.3365341e-15,4.52155e-11,3.022826e-15,4.52155e-11,6.0258557e-15,4.52155e-11,5.8592561e-15,4.52155e-11,5.9458137e-15,4.52155e-11,1.3117226e-15,4.52155e-11,3.6362203e-15,4.52155e-11,6.1538125e-15,4.52155e-11,6.2477082e-15,4.52155e-11,6.0491011e-15,4.52155e-11,5.7287265e-15,4.52155e-11,3.9039126e-15,4.52155e-11,6.3422401e-15,4.52155e-11,6.4194639e-15,4.52155e-11,6.3505785e-15,4.52155e-11,-4.1370909e-14,4.52155e-11,-4.1463675e-16,4.52155e-11,6.6246255e-15,4.52155e-11,6.4411109e-15,4.52155e-11,7.1294486e-15
6.378015e-11,5.4146554e-15,6.378015e-11,5.9080506e-15,6.378015e-11,5.5765052e-15,6.378015e-11,5.1823359e-15,6.378015e-11,4.887603e-15,6.378015e-11,5.1112475e-15,6.378015e-11,4.7395588e-15,6.378015e-11,4.7941004e-15,6.378015e-11,4.5984673e-15,6.378015e-11,4.0090537e-15,6.378015e-11,5.8910033e-15,6.378015e-11,5.972107e-15,6.378015e-11,5.7504139e-15,6.378015e-11,5.469688e-15,6.378015e-11,4.0234592e-15,6.378015e-11,6.3383536e-15,6.378015e-11,6.5853716e-15,6.378015e-11,6.1985995e-15,6.378015e-11,5.5157764e-15,6.378015e-11,4.0398651e-15,6.378015e-11,7.7586462e-15,6.378015e-11,7.7203871e-15,6.378015e-11,7.3078739e-15,6.378015e-11,6.4621387e-15,6.378015e-11,4.3142568e-15,6.378015e-11,8.4938368e-15,6.378015e-11,8.5259622e-15,6.378015e-11,8.4945429e-15,6.378015e-11,-9.1339347e-16,6.378015e-11,4.9001691e-15,6.378015e-11,9.2207293e-15,6.378015e-11,9.1605486e-15,6.378015e-11,9.1972785e-15,6.378015e-11,5.491007e-15,6.378015e-11,5.5948793e-15,6.378015e-11,9.7172007e-15,6.378015e-11,9.5973673e-15,6.378015e-11,9.6541933e-15,6.378015e-11,8.7205928e-15,6.378015e-11,5.926768e-15,6.378015e-11,1.0267444e-14,6.378015e-11,1.0050792e-14,6.378015e-11,1.0298378e-14,6.378015e-11,-2.4157413e-14,6.378015e-11,5.149675e-15,6.378015e-11,1.0584448e-14,6.378015e-11,1.0567905e-14,6.378015e-11,1.0630887e-14
8.7914195e-11,8.4336825e-15,8.7914195e-11,8.574313e-15,8.7914195e-11,7.9703526e-15,8.7914195e-11,8.1379928e-15,8.7914195e-11,7.6512426e-15,8.7914195e-11,7.8864628e-15,8.7914195e-11,7.7406514e-15,8.7914195e-11,8.0904329e-15,8.7914195e-11,7.6366964e-15,8.7914195e-11,6.0554057e-15,8.7914195e-11,9.5396636e-15,8.7914195e-11,9.4533841e-15,8.7914195e-11,8.4936361e-15,8.7914195e-11,8.2804299e-15,8.7914195e-11,5.9549045e-15,8.7914195e-11,1.0110851e-14,8.7914195e-11,1.0198122e-14,8.7914195e-11,9.9369493e-15,8.7914195e-11,8.6233041e-15,8.7914195e-11,6.1208042e-15,8.7914195e-11,1.186932e-14,8.7914195e-11,1.2096763e-14,8.7914195e-11,1.1866932e-14,8.7914195e-11,1.0134141e-14,8.7914195e-11,6.7824997e-15,8.7914195e-11,1.3519278e-14,8.7914195e-11,1.3368245e-14,8.7914195e-11,1.3291705e-14,8.7914195e-11,5.8138667e-15,8.7914195e-11,7.5985523e-15,8.7914195e-11,1.4570341e-14,8.7914195e-11,1.4670489e-14,8.7914195e-11,1.4485594e-14,8.7914195e-11,1.0939223e-14,8.7914195e-11,8.6041548e-15,8.7914195e-11,1.530915e-14,8.7914195e-11,1.5242054e-14,8.7914195e-11,1.5250872e-14,8.7914195e-11,1.3639579e-14,8.7914195e-11,9.2109201e-15,8.7914195e-11,1.6048066e-14,8.7914195e-11,1.5809667e-14,8.7914195e-11,1.6132307e-14,8.7914195e-11,-8.4180007e-15,8.7914195e-11,9.5864304e-15,8.7914195e-11,1.6071354e-14,8.7914195e-11,1.6242756e-14,8.7914195e-11,1.6398155e-14
1.1928845e-10,1.3498159e-14,1.1928845e-10,1.3627647e-14,1.1928845e-10,1.3029151e-14,1.1928845e-10,1.3345537e-14,1.1928845e-10,1.1705962e-14,1.1928845e-10,1.3398831e-14,1.1928845e-10,1.2656719e-14,1.1928845e-10,1.2929864e-14,1.1928845e-10,1.1896406e-14,1.1928845e-10,9.0059299e-15,1.1928845e-10,1.5309127e-14,1.1928845e-10,1.5954983e-14,1.1928845e-10,1.5281769e-14,1.1928845e-10,1.3036921e-14,1.1928845e-10,9.8030895e-15,1.1928845e-10,1.6637232e-14,1.1928845e-10,1.6606279e-14,1.1928845e-10,1.6414591e-14,1.1928845e-10,1.4034727e-14,1.1928845e-10,9.6811903e-15,1.1928845e-10,1.9698103e-14,1.1928845e-10,1.9643623e-14,1.1928845e-10,1.952118e-14,1.1928845e-10,1.6148348e-14,1.1928845e-10,1.0770603e-14,1.1928845e-10,2.2155728e-14,1.1928845e-10,2.2060386e-14,1.1928845e-10,2.1946972e-14,1.1928845e-10,1.4695322e-14,1.1928845e-10,1.2129284e-14,1.1928845e-10,2.4186124e-14,1.1928845e-10,2.4390682e-14,1.1928845e-10,2.391298e-14,1.1928845e-10,1.9610097e-14,1.1928845e-10,1.3601685e-14,1.1928845e-10,2.5219492e-14,1.1928845e-10,2.5034118e-14,1.1928845e-10,2.5096593e-14,1.1928845e-10,2.2317943e-14,1.1928845e-10,1.4597645e-14,1.1928845e-10,2.6020214e-14,1.1928845e-10,2.6076126e-14,1.1928845e-10,2.6465049e-14,1.1928845e-10,8.6729944e-15,1.1928845e-10,1.6014958e-14,1.1928845e-10,2.738581e-14,1.1928845e-10,2.6798321e-14,1.1928845e-10,2.7358309e-14
1.6007499e-10,2.2246061e-14,1.6007499e-10,2.2780409e-14,1.6007499e-10,2.2715678e-14,1.6007499e-10,2.1797089e-14,1.6007499e-10,1.9758436e-14,1.6007499e-10,2.2540311e-14,1.6007499e-10,2.2219185e-14,1.6007499e-10,2.1598631e-14,1.6007499e-10,2.0754917e-14,1.6007499e-10,1.5860445e-14,1.6007499e-10,2.6409151e-14,1.6007499e-10,2.6322303e-14,1.6007499e-10,2.6303122e-14,1.6007499e-10,2.3273475e-14,1.6007499e-10,1.6503864e-14,1.6007499e-10,2.9034917e-14,1.6007499e-10,2.8954578e-14,1.6007499e-10,2.8383994e-14,1.6007499e-10,2.4153039e-14,1.6007499e-10,1.6146858e-14,1.6007499e-10,3.4076115e-14,1.6007499e-10,3.382143e-14,1.6007499e-10,3.3397885e-14,1.6007499e-10,2.7815589e-14,1.6007499e-10,1.8070319e-14,1.6007499e-10,3.8508799e-14,1.6007499e-10,3.8491096e-14,1.6007499e-10,3.7906394e-14,1.6007499e-10,2.9587829e-14,1.6007499e-10,2.0427199e-14,1.6007499e-10,4.217184e-14,1.6007499e-10,4.2112609e-14,1.6007499e-10,4.1774781e-14,1.6007499e-10,3.5170071e-14,1.6007499e-10,2.2916341e-14,1.6007499e-10,4.3819079e-14,1.6007499e-10,4.3763245e-14,1.6007499e-10,4.3602654e-14,1.6007499e-10,3.867177e-14,1.6007499e-10,2.4606001e-14,1.6007499e-10,4.5781178e-14,1.6007499e-10,4.5842442e-14,1.6007499e-10,4.5703086e-14,1.6007499e-10,3.1437821e-14,1.6007499e-10,2.7294567e-14,1.6007499e-10,4.713522e-14,1.6007499e-10,4.7087815e-14,1.6007499e-10,4.7578599e-14
2.1007499e-10,3.9594376e-14,2.1007499e-10,3.9329566e-14,2.1007499e-10,3.9669347e-14,2.1007499e-10,3.8867359e-14,2.1007499e-10,3.5178875e-14,2.1007499e-10,3.9765993e-14,2.1007499e-10,4.0055838e-14,2.1007499e-10,4.0155356e-14,2.1007499e-10,3.7323386e-14,2.1007499e-10,2.8017387e-14,2.1007499e-10,4.8825249e-14,2.1007499e-10,4.8336609e-14,2.1007499e-10,4.7832081e-14,2.1007499e-10,4.1064219e-14,2.1007499e-10,2.82344e-14,2.1007499e-10,5.3006206e-14,2.1007499e-10,5.2819052e-14,2.1007499e-10,5.1843623e-14,2.1007499e-10,4.3611093e-14,2.1007499e-10,2.8422908e-14,2.1007499e-10,6.2282691e-14,2.1007499e-10,6.2359945e-14,2.1007499e-10,6.1104823e-14,2.1007499e-10,5.1038064e-14,2.1007499e-10,3.1975968e-14,2.1007499e-10,7.0406507e-14,2.1007499e-10,7.037417e-14,2.1007499e-10,6.9194301e-14,2.1007499e-10,5.6421854e-14,2.1007499e-10,3.5964608e-14,2.1007499e-10,7.7014337e-14,2.1007499e-10,7.6923628e-14,2.1007499e-10,7.6261936e-14,2.1007499e-10,6.4873852e-14,2.1007499e-10,4.0459688e-14,2.1007499e-10,8.0070498e-14,2.1007499e-10,8.0044483e-14,2.1007499e-10,7.9804607e-14,2.1007499e-10,6.9734581e-14,2.1007499e-10,4.3799411e-14,2.1007499e-10,8.3601812e-14,2.1007499e-10,8.3860649e-14,2.1007499e-10,8.4303164e-14,2.1007499e-10,6.8970015e-14,2.1007499e-10,4.8098078e-14,2.1007499e-10,8.6396967e-14,2.1007499e-10,8.633505e-14,2.1007499e-10,8.7308648e-14
