cathode TotalCurrent(10um_0.5V_Nt0n67_des) X,cathode TotalCurrent(10um_0.5V_Nt0n67_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e11n95_des) X,cathode TotalCurrent(10um_0.5V_Nt1e11n95_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e12n108_des) X,cathode TotalCurrent(10um_0.5V_Nt1e12n108_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e13n121_des) X,cathode TotalCurrent(10um_0.5V_Nt1e13n121_des) Y,cathode TotalCurrent(10um_0.5V_Nt5e13n134_des) X,cathode TotalCurrent(10um_0.5V_Nt5e13n134_des) Y,cathode TotalCurrent(20um_2V_Nt0n70_des) X,cathode TotalCurrent(20um_2V_Nt0n70_des) Y,cathode TotalCurrent(20um_2V_Nt1e11n96_des) X,cathode TotalCurrent(20um_2V_Nt1e11n96_des) Y,cathode TotalCurrent(20um_2V_Nt1e12n109_des) X,cathode TotalCurrent(20um_2V_Nt1e12n109_des) Y,cathode TotalCurrent(20um_2V_Nt1e13n122_des) X,cathode TotalCurrent(20um_2V_Nt1e13n122_des) Y,cathode TotalCurrent(20um_2V_Nt5e13n135_des) X,cathode TotalCurrent(20um_2V_Nt5e13n135_des) Y,cathode TotalCurrent(30um_5V_Nt0n56_des) X,cathode TotalCurrent(30um_5V_Nt0n56_des) Y,cathode TotalCurrent(30um_5V_Nt1e11n97_des) X,cathode TotalCurrent(30um_5V_Nt1e11n97_des) Y,cathode TotalCurrent(30um_5V_Nt1e12n110_des) X,cathode TotalCurrent(30um_5V_Nt1e12n110_des) Y,cathode TotalCurrent(30um_5V_Nt1e13n123_des) X,cathode TotalCurrent(30um_5V_Nt1e13n123_des) Y,cathode TotalCurrent(30um_5V_Nt5e13n136_des) X,cathode TotalCurrent(30um_5V_Nt5e13n136_des) Y,cathode TotalCurrent(40um_8V_Nt0n77_des) X,cathode TotalCurrent(40um_8V_Nt0n77_des) Y,cathode TotalCurrent(40um_8V_Nt1e11n98_des) X,cathode TotalCurrent(40um_8V_Nt1e11n98_des) Y,cathode TotalCurrent(40um_8V_Nt1e12n111_des) X,cathode TotalCurrent(40um_8V_Nt1e12n111_des) Y,cathode TotalCurrent(40um_8V_Nt1e13n124_des) X,cathode TotalCurrent(40um_8V_Nt1e13n124_des) Y,cathode TotalCurrent(40um_8V_Nt5e13n137_des) X,cathode TotalCurrent(40um_8V_Nt5e13n137_des) Y,cathode TotalCurrent(50um_13V_Nt0n81_des) X,cathode TotalCurrent(50um_13V_Nt0n81_des) Y,cathode TotalCurrent(50um_13V_Nt1e11n99_des) X,cathode TotalCurrent(50um_13V_Nt1e11n99_des) Y,cathode TotalCurrent(50um_13V_Nt1e12n112_des) X,cathode TotalCurrent(50um_13V_Nt1e12n112_des) Y,cathode TotalCurrent(50um_13V_Nt1e13n125_des) X,cathode TotalCurrent(50um_13V_Nt1e13n125_des) Y,cathode TotalCurrent(50um_13V_Nt5e13n138_des) X,cathode TotalCurrent(50um_13V_Nt5e13n138_des) Y,cathode TotalCurrent(60um_19V_Nt0n59_des) X,cathode TotalCurrent(60um_19V_Nt0n59_des) Y,cathode TotalCurrent(60um_19V_Nt1e11n100_des) X,cathode TotalCurrent(60um_19V_Nt1e11n100_des) Y,cathode TotalCurrent(60um_19V_Nt1e12n113_des) X,cathode TotalCurrent(60um_19V_Nt1e12n113_des) Y,cathode TotalCurrent(60um_19V_Nt1e13n126_des) X,cathode TotalCurrent(60um_19V_Nt1e13n126_des) Y,cathode TotalCurrent(60um_19V_Nt5e13n139_des) X,cathode TotalCurrent(60um_19V_Nt5e13n139_des) Y,cathode TotalCurrent(70um_26V_Nt0n60_des) X,cathode TotalCurrent(70um_26V_Nt0n60_des) Y,cathode TotalCurrent(70um_26V_Nt1e11n101_des) X,cathode TotalCurrent(70um_26V_Nt1e11n101_des) Y,cathode TotalCurrent(70um_26V_Nt1e12n114_des) X,cathode TotalCurrent(70um_26V_Nt1e12n114_des) Y,cathode TotalCurrent(70um_26V_Nt1e13n127_des) X,cathode TotalCurrent(70um_26V_Nt1e13n127_des) Y,cathode TotalCurrent(70um_26V_Nt5e13n140_des) X,cathode TotalCurrent(70um_26V_Nt5e13n140_des) Y,cathode TotalCurrent(80um_33V_Nt0n61_des) X,cathode TotalCurrent(80um_33V_Nt0n61_des) Y,cathode TotalCurrent(80um_33V_Nt1e11n102_des) X,cathode TotalCurrent(80um_33V_Nt1e11n102_des) Y,cathode TotalCurrent(80um_33V_Nt1e12n115_des) X,cathode TotalCurrent(80um_33V_Nt1e12n115_des) Y,cathode TotalCurrent(80um_33V_Nt1e13n128_des) X,cathode TotalCurrent(80um_33V_Nt1e13n128_des) Y,cathode TotalCurrent(80um_33V_Nt5e13n141_des) X,cathode TotalCurrent(80um_33V_Nt5e13n141_des) Y,cathode TotalCurrent(90um_42V_Nt0n62_des) X,cathode TotalCurrent(90um_42V_Nt0n62_des) Y,cathode TotalCurrent(90um_42V_Nt1e11n103_des) X,cathode TotalCurrent(90um_42V_Nt1e11n103_des) Y,cathode TotalCurrent(90um_42V_Nt1e12n116_des) X,cathode TotalCurrent(90um_42V_Nt1e12n116_des) Y,cathode TotalCurrent(90um_42V_Nt1e13n129_des) X,cathode TotalCurrent(90um_42V_Nt1e13n129_des) Y,cathode TotalCurrent(90um_42V_Nt5e13n142_des) X,cathode TotalCurrent(90um_42V_Nt5e13n142_des) Y,cathode TotalCurrent(100um_52V_Nt0n63_des) X,cathode TotalCurrent(100um_52V_Nt0n63_des) Y,cathode TotalCurrent(100um_52V_Nt1e11n104_des) X,cathode TotalCurrent(100um_52V_Nt1e11n104_des) Y,cathode TotalCurrent(100um_52V_Nt1e12n117_des) X,cathode TotalCurrent(100um_52V_Nt1e12n117_des) Y,cathode TotalCurrent(100um_52V_Nt1e13n130_des) X,cathode TotalCurrent(100um_52V_Nt1e13n130_des) Y,cathode TotalCurrent(100um_52V_Nt5e13n143_des) X,cathode TotalCurrent(100um_52V_Nt5e13n143_des) Y,cathode TotalCurrent(110um_63V_Nt0n64_des) X,cathode TotalCurrent(110um_63V_Nt0n64_des) Y,cathode TotalCurrent(110um_63V_Nt1e11n105_des) X,cathode TotalCurrent(110um_63V_Nt1e11n105_des) Y,cathode TotalCurrent(110um_63V_Nt1e12n118_des) X,cathode TotalCurrent(110um_63V_Nt1e12n118_des) Y,cathode TotalCurrent(110um_63V_Nt1e13n131_des) X,cathode TotalCurrent(110um_63V_Nt1e13n131_des) Y
5e-12,7.2253881e-15,5e-12,7.5614865e-15,5e-12,2.7639864e-14,5e-12,-8.6975709e-14,5e-12,-4.3709868e-13,5e-12,2.44314e-14,5e-12,4.4548888e-15,5e-12,1.9063533e-15,5e-12,-3.4206217e-13,5e-12,3.2821991e-15,5e-12,7.1658782e-15,5e-12,7.7926327e-15,5e-12,7.8677587e-15,5e-12,9.4170941e-15,5e-12,-3.2106544e-12,5e-12,4.1747146e-15,5e-12,2.934207e-15,5e-12,5.4245028e-15,5e-12,-1.4180127e-14,5e-12,-5.7847442e-14,5e-12,-1.2175162e-14,5e-12,-1.205189e-14,5e-12,-1.2707727e-14,5e-12,1.5789119e-13,5e-12,-1.5066292e-11,5e-12,-1.0866538e-14,5e-12,-9.5073373e-15,5e-12,-1.0791289e-14,5e-12,-2.1055543e-11,5e-12,-2.2913098e-11,5e-12,1.3328686e-14,5e-12,1.3189834e-14,5e-12,1.6667653e-14,5e-12,-5.2222607e-12,5e-12,-9.2957551e-13,5e-12,-2.1258113e-14,5e-12,-1.146529e-14,5e-12,-1.2918262e-14,5e-12,-2.3518898e-14,5e-12,-3.5242617e-13,5e-12,1.9844431e-14,5e-12,1.4816347e-14,5e-12,-4.1909757e-14,5e-12,-1.1394882e-10,5e-12,-7.1202512e-10,5e-12,1.6324852e-14,5e-12,-1.959706e-14,5e-12,-2.977713e-14,5e-12,-1.6018881e-12,5e-12,-1.1445656e-10,5e-12,-1.2323987e-14,5e-12,-2.9193911e-14,5e-12,-2.4310029e-14,5e-12,-6.1129006e-13
1.15e-11,2.5000866e-15,1.15e-11,2.7677727e-15,1.15e-11,1.7804508e-15,1.15e-11,2.5354604e-15,1.15e-11,3.2673739e-15,1.15e-11,6.2040288e-16,1.15e-11,1.7866112e-15,1.15e-11,8.800433e-17,1.15e-11,3.6333906e-17,1.15e-11,8.2697353e-16,1.15e-11,1.2364527e-15,1.15e-11,6.7208508e-16,1.15e-11,1.2293867e-15,1.15e-11,1.2524889e-15,1.15e-11,7.1383995e-16,1.15e-11,6.0067735e-16,1.15e-11,7.8360639e-16,1.15e-11,3.6201986e-16,1.15e-11,7.790076e-16,1.15e-11,1.1781112e-15,1.15e-11,2.5749717e-16,1.15e-11,4.816186e-16,1.15e-11,9.3304741e-16,1.15e-11,-1.1306888e-15,1.15e-11,-5.5097823e-16,1.15e-11,7.0836613e-16,1.15e-11,5.0418466e-16,1.15e-11,6.8211761e-16,1.15e-11,-3.6218664e-14,1.15e-11,-1.2736373e-15,1.15e-11,3.2208442e-16,1.15e-11,5.1728023e-16,1.15e-11,2.9869233e-16,1.15e-11,-1.1470241e-14,1.15e-11,7.1746258e-16,1.15e-11,5.6382207e-16,1.15e-11,3.6334856e-16,1.15e-11,5.6888507e-16,1.15e-11,9.6597034e-16,1.15e-11,1.2344801e-15,1.15e-11,6.7018762e-16,1.15e-11,3.2648838e-16,1.15e-11,-3.5786107e-17,1.15e-11,-1.4817966e-13,1.15e-11,-3.5803052e-14,1.15e-11,1.3712819e-16,1.15e-11,5.7106212e-16,1.15e-11,4.6841261e-16,1.15e-11,-6.4183285e-16,1.15e-11,-3.363806e-15,1.15e-11,1.0260601e-15,1.15e-11,1.1012913e-15,1.15e-11,7.5869267e-16,1.15e-11,-1.0061566e-17
1.995e-11,3.3596734e-15,1.995e-11,3.4313144e-15,1.995e-11,3.4259582e-15,1.995e-11,4.2565467e-15,1.995e-11,4.3520455e-15,1.995e-11,1.4863151e-15,1.995e-11,2.1978749e-15,1.995e-11,1.5098713e-15,1.995e-11,1.5136455e-15,1.995e-11,2.9827385e-15,1.995e-11,1.1117624e-15,1.995e-11,2.0861741e-15,1.995e-11,2.4146552e-15,1.995e-11,1.7859912e-15,1.995e-11,1.0678737e-15,1.995e-11,1.0650941e-15,1.995e-11,1.1157202e-15,1.995e-11,1.1070716e-15,1.995e-11,1.645855e-15,1.995e-11,2.1452679e-15,1.995e-11,1.0402788e-15,1.995e-11,8.4044129e-16,1.995e-11,1.397471e-15,1.995e-11,1.3826816e-15,1.995e-11,4.9805051e-16,1.995e-11,1.2575176e-15,1.995e-11,1.0389237e-15,1.995e-11,8.0150249e-16,1.995e-11,-2.4350105e-14,1.995e-11,2.4165863e-16,1.995e-11,9.8084951e-16,1.995e-11,9.28245e-16,1.995e-11,1.063603e-15,1.995e-11,-7.0437689e-15,1.995e-11,1.8655788e-15,1.995e-11,9.1326326e-16,1.995e-11,9.1046408e-16,1.995e-11,1.0432795e-15,1.995e-11,1.1924467e-15,1.995e-11,1.7918906e-15,1.995e-11,1.0459581e-15,1.995e-11,1.0789691e-15,1.995e-11,7.6547453e-16,1.995e-11,-1.0178023e-13,1.995e-11,-3.7282255e-14,1.995e-11,7.6228392e-16,1.995e-11,3.3741074e-16,1.995e-11,5.1204497e-16,1.995e-11,-1.4638356e-16,1.995e-11,-3.9622296e-15,1.995e-11,1.3211751e-15,1.995e-11,7.7874641e-16,1.995e-11,7.6136155e-16,1.995e-11,1.0023622e-15
3.0935e-11,5.6569639e-15,3.0935e-11,6.3969458e-15,3.0935e-11,5.3203363e-15,3.0935e-11,6.6950853e-15,3.0935e-11,7.1948768e-15,3.0935e-11,2.419399e-15,3.0935e-11,2.6463445e-15,3.0935e-11,3.0078558e-15,3.0935e-11,2.9886106e-15,3.0935e-11,4.4717862e-15,3.0935e-11,1.9685307e-15,3.0935e-11,2.9906799e-15,3.0935e-11,2.1582512e-15,3.0935e-11,3.2742122e-15,3.0935e-11,3.432762e-15,3.0935e-11,1.7399821e-15,3.0935e-11,2.0382797e-15,3.0935e-11,1.9664164e-15,3.0935e-11,2.5771655e-15,3.0935e-11,3.6888284e-15,3.0935e-11,1.8779394e-15,3.0935e-11,1.538358e-15,3.0935e-11,1.6045707e-15,3.0935e-11,2.0523967e-15,3.0935e-11,2.8376322e-15,3.0935e-11,1.6028816e-15,3.0935e-11,1.6776509e-15,3.0935e-11,1.5308467e-15,3.0935e-11,-1.4706113e-14,3.0935e-11,2.5366278e-15,3.0935e-11,1.5663948e-15,3.0935e-11,1.5476855e-15,3.0935e-11,1.6701906e-15,3.0935e-11,-3.3270159e-15,3.0935e-11,3.0625557e-15,3.0935e-11,1.420907e-15,3.0935e-11,1.5278867e-15,3.0935e-11,1.498785e-15,3.0935e-11,2.1574452e-15,3.0935e-11,2.7776335e-15,3.0935e-11,1.3700925e-15,3.0935e-11,1.2877876e-15,3.0935e-11,1.6731568e-15,3.0935e-11,-6.6262073e-14,3.0935e-11,-9.2995181e-15,3.0935e-11,1.5004546e-15,3.0935e-11,1.2177061e-15,3.0935e-11,1.1797672e-15,3.0935e-11,1.1977062e-15,3.0935e-11,8.1118419e-16,3.0935e-11,1.2641498e-15,3.0935e-11,1.2631645e-15,3.0935e-11,1.4767161e-15,3.0935e-11,1.4793419e-15
4.52155e-11,1.0034492e-14,4.52155e-11,1.0102359e-14,4.52155e-11,9.8557e-15,4.52155e-11,1.0061433e-14,4.52155e-11,1.0098164e-14,4.52155e-11,4.0129848e-15,4.52155e-11,4.7195387e-15,4.52155e-11,4.5839898e-15,4.52155e-11,4.9125067e-15,4.52155e-11,6.6494112e-15,4.52155e-11,3.6523757e-15,4.52155e-11,3.5137465e-15,4.52155e-11,3.2958938e-15,4.52155e-11,4.5814301e-15,4.52155e-11,5.3716817e-15,4.52155e-11,2.9291796e-15,4.52155e-11,2.9804888e-15,4.52155e-11,2.9674522e-15,4.52155e-11,4.0216878e-15,4.52155e-11,5.5070492e-15,4.52155e-11,2.8680471e-15,4.52155e-11,2.7168464e-15,4.52155e-11,2.5480023e-15,4.52155e-11,3.6174536e-15,4.52155e-11,5.1465808e-15,4.52155e-11,2.6194558e-15,4.52155e-11,2.6943036e-15,4.52155e-11,2.796786e-15,4.52155e-11,-8.4277537e-15,4.52155e-11,4.7777522e-15,4.52155e-11,2.3891724e-15,4.52155e-11,2.5797176e-15,4.52155e-11,2.6067733e-15,4.52155e-11,-2.5530387e-16,4.52155e-11,4.6878015e-15,4.52155e-11,2.408664e-15,4.52155e-11,2.3466626e-15,4.52155e-11,2.4443207e-15,4.52155e-11,3.2389606e-15,4.52155e-11,4.2560554e-15,4.52155e-11,2.3359207e-15,4.52155e-11,2.4428935e-15,4.52155e-11,2.2928932e-15,4.52155e-11,-4.4559869e-14,4.52155e-11,-5.1299391e-16,4.52155e-11,2.381555e-15,4.52155e-11,2.3343585e-15,4.52155e-11,2.2845987e-15,4.52155e-11,2.4444373e-15,4.52155e-11,3.165765e-15,4.52155e-11,2.5754502e-15,4.52155e-11,2.5374474e-15,4.52155e-11,2.6354905e-15,4.52155e-11,2.8321919e-15
6.378015e-11,1.4991067e-14,6.378015e-11,1.5802839e-14,6.378015e-11,1.4816842e-14,6.378015e-11,1.519792e-14,6.378015e-11,1.6750141e-14,6.378015e-11,6.8932637e-15,6.378015e-11,7.0379729e-15,6.378015e-11,6.8635981e-15,6.378015e-11,8.1554774e-15,6.378015e-11,1.0080281e-14,6.378015e-11,5.0933323e-15,6.378015e-11,5.3084936e-15,6.378015e-11,5.1959351e-15,6.378015e-11,6.8903775e-15,6.378015e-11,9.0154658e-15,6.378015e-11,4.5879919e-15,6.378015e-11,4.5926767e-15,6.378015e-11,4.8088236e-15,6.378015e-11,6.0803714e-15,6.378015e-11,8.3893873e-15,6.378015e-11,4.2748474e-15,6.378015e-11,4.1544421e-15,6.378015e-11,4.5822013e-15,6.378015e-11,5.8462109e-15,6.378015e-11,7.9893884e-15,6.378015e-11,4.0631147e-15,6.378015e-11,4.20341e-15,6.378015e-11,4.2885173e-15,6.378015e-11,-2.7721901e-15,6.378015e-11,7.4168203e-15,6.378015e-11,3.7785987e-15,6.378015e-11,3.9080339e-15,6.378015e-11,4.0870465e-15,6.378015e-11,2.6227222e-15,6.378015e-11,7.0725096e-15,6.378015e-11,3.8791326e-15,6.378015e-11,3.6865943e-15,6.378015e-11,3.715336e-15,6.378015e-11,4.9747528e-15,6.378015e-11,6.6110973e-15,6.378015e-11,3.5013635e-15,6.378015e-11,3.4625547e-15,6.378015e-11,3.8775782e-15,6.378015e-11,-2.8861472e-14,6.378015e-11,4.8598413e-15,6.378015e-11,3.3475261e-15,6.378015e-11,3.5117352e-15,6.378015e-11,3.7780546e-15,6.378015e-11,3.7973123e-15,6.378015e-11,5.8030658e-15,6.378015e-11,3.0913233e-15,6.378015e-11,2.846928e-15,6.378015e-11,3.4819498e-15,6.378015e-11,4.2016845e-15
8.7914195e-11,2.432306e-14,8.7914195e-11,2.5099674e-14,8.7914195e-11,2.3430213e-14,8.7914195e-11,2.4427459e-14,8.7914195e-11,2.4237235e-14,8.7914195e-11,1.1078449e-14,8.7914195e-11,1.0342462e-14,8.7914195e-11,1.1274534e-14,8.7914195e-11,1.3279193e-14,8.7914195e-11,1.5401339e-14,8.7914195e-11,9.2686701e-15,8.7914195e-11,8.7292103e-15,8.7914195e-11,8.5789293e-15,8.7914195e-11,1.142105e-14,8.7914195e-11,1.4079129e-14,8.7914195e-11,7.2315679e-15,8.7914195e-11,7.4179577e-15,8.7914195e-11,7.5880819e-15,8.7914195e-11,9.7648132e-15,8.7914195e-11,1.2829509e-14,8.7914195e-11,6.9143552e-15,8.7914195e-11,6.6282366e-15,8.7914195e-11,7.3057893e-15,8.7914195e-11,9.2340276e-15,8.7914195e-11,1.2318657e-14,8.7914195e-11,6.4472774e-15,8.7914195e-11,6.478423e-15,8.7914195e-11,6.8111715e-15,8.7914195e-11,3.0300965e-15,8.7914195e-11,1.1505096e-14,8.7914195e-11,6.1422638e-15,8.7914195e-11,6.1634488e-15,8.7914195e-11,6.5828682e-15,8.7914195e-11,6.4240741e-15,8.7914195e-11,1.0873098e-14,8.7914195e-11,5.8022889e-15,8.7914195e-11,5.7970549e-15,8.7914195e-11,6.0537215e-15,8.7914195e-11,8.0260603e-15,8.7914195e-11,1.0409486e-14,8.7914195e-11,5.7642793e-15,8.7914195e-11,5.747613e-15,8.7914195e-11,5.9204586e-15,8.7914195e-11,-1.5786332e-14,8.7914195e-11,9.3285409e-15,8.7914195e-11,5.3902015e-15,8.7914195e-11,5.6731626e-15,8.7914195e-11,5.524427e-15,8.7914195e-11,6.8693324e-15,8.7914195e-11,9.2522082e-15,8.7914195e-11,5.0051294e-15,8.7914195e-11,5.4372927e-15,8.7914195e-11,5.5882906e-15,8.7914195e-11,6.734507e-15
1.1928845e-10,3.9850508e-14,1.1928845e-10,4.0682472e-14,1.1928845e-10,3.9094744e-14,1.1928845e-10,4.0304999e-14,1.1928845e-10,3.8029515e-14,1.1928845e-10,1.7632091e-14,1.1928845e-10,1.8091711e-14,1.1928845e-10,1.7866863e-14,1.1928845e-10,2.103867e-14,1.1928845e-10,2.3393772e-14,1.1928845e-10,1.3998691e-14,1.1928845e-10,1.3553765e-14,1.1928845e-10,1.4888613e-14,1.1928845e-10,1.8171678e-14,1.1928845e-10,2.2166535e-14,1.1928845e-10,1.2055352e-14,1.1928845e-10,1.1968296e-14,1.1928845e-10,1.2484259e-14,1.1928845e-10,1.5956253e-14,1.1928845e-10,1.9846438e-14,1.1928845e-10,1.1170461e-14,1.1928845e-10,1.1111761e-14,1.1928845e-10,1.1528515e-14,1.1928845e-10,1.5008803e-14,1.1928845e-10,1.8982367e-14,1.1928845e-10,1.0618949e-14,1.1928845e-10,1.0748802e-14,1.1928845e-10,1.1115212e-14,1.1928845e-10,1.0604223e-14,1.1928845e-10,1.8153331e-14,1.1928845e-10,1.0226933e-14,1.1928845e-10,1.0283169e-14,1.1928845e-10,1.0767783e-14,1.1928845e-10,1.2270623e-14,1.1928845e-10,1.7347209e-14,1.1928845e-10,9.612968e-15,1.1928845e-10,9.7676804e-15,1.1928845e-10,1.0235139e-14,1.1928845e-10,1.2889827e-14,1.1928845e-10,1.6336723e-14,1.1928845e-10,9.223466e-15,1.1928845e-10,9.6655044e-15,1.1928845e-10,9.6382384e-15,1.1928845e-10,-3.6125041e-15,1.1928845e-10,1.5254225e-14,1.1928845e-10,8.9325687e-15,1.1928845e-10,8.9140633e-15,1.1928845e-10,9.5407404e-15,1.1928845e-10,1.1449115e-14,1.1928845e-10,1.5125893e-14,1.1928845e-10,9.0347917e-15,1.1928845e-10,8.5087919e-15,1.1928845e-10,8.906378e-15,1.1928845e-10,1.1274331e-14
1.6007499e-10,6.8719464e-14,1.6007499e-10,6.8981049e-14,1.6007499e-10,6.9379512e-14,1.6007499e-10,6.8896065e-14,1.6007499e-10,6.4835178e-14,1.6007499e-10,3.0579123e-14,1.6007499e-10,3.0779352e-14,1.6007499e-10,3.2010217e-14,1.6007499e-10,3.6099731e-14,1.6007499e-10,3.8992687e-14,1.6007499e-10,2.5317597e-14,1.6007499e-10,2.4914232e-14,1.6007499e-10,2.5602849e-14,1.6007499e-10,3.0992393e-14,1.6007499e-10,3.6669712e-14,1.6007499e-10,2.0723643e-14,1.6007499e-10,2.0947359e-14,1.6007499e-10,2.1620721e-14,1.6007499e-10,2.7331801e-14,1.6007499e-10,3.2998529e-14,1.6007499e-10,1.9270486e-14,1.6007499e-10,1.9477366e-14,1.6007499e-10,2.0558187e-14,1.6007499e-10,2.5857489e-14,1.6007499e-10,3.1750579e-14,1.6007499e-10,1.8393903e-14,1.6007499e-10,1.8494177e-14,1.6007499e-10,1.9494766e-14,1.6007499e-10,2.1986281e-14,1.6007499e-10,3.0235926e-14,1.6007499e-10,1.7757898e-14,1.6007499e-10,1.7927785e-14,1.6007499e-10,1.8535839e-14,1.6007499e-10,2.2491451e-14,1.6007499e-10,2.9083353e-14,1.6007499e-10,1.6601189e-14,1.6007499e-10,1.676535e-14,1.6007499e-10,1.7588959e-14,1.6007499e-10,2.2086895e-14,1.6007499e-10,2.7269822e-14,1.6007499e-10,1.6093592e-14,1.6007499e-10,1.6142295e-14,1.6007499e-10,1.7018219e-14,1.6007499e-10,1.0762268e-14,1.6007499e-10,2.588691e-14,1.6007499e-10,1.5478429e-14,1.6007499e-10,1.556269e-14,1.6007499e-10,1.6522339e-14,1.6007499e-10,2.0035413e-14,1.6007499e-10,2.5353865e-14,1.6007499e-10,1.5003734e-14,1.6007499e-10,1.4837827e-14,1.6007499e-10,1.6124591e-14,1.6007499e-10,1.9600289e-14
2.1007499e-10,1.2412993e-13,2.1007499e-10,1.2327868e-13,2.1007499e-10,1.2609719e-13,2.1007499e-10,1.2488922e-13,2.1007499e-10,1.1756364e-13,2.1007499e-10,5.6106302e-14,2.1007499e-10,5.6458507e-14,2.1007499e-10,5.7196896e-14,2.1007499e-10,6.4499994e-14,2.1007499e-10,6.9073909e-14,2.1007499e-10,4.4681003e-14,2.1007499e-10,4.4814656e-14,2.1007499e-10,4.5472114e-14,2.1007499e-10,5.5487417e-14,2.1007499e-10,6.347851e-14,2.1007499e-10,3.7830601e-14,2.1007499e-10,3.7966463e-14,2.1007499e-10,3.9656865e-14,2.1007499e-10,4.9112052e-14,2.1007499e-10,5.7413907e-14,2.1007499e-10,3.5493563e-14,2.1007499e-10,3.581608e-14,2.1007499e-10,3.7359105e-14,2.1007499e-10,4.6761963e-14,2.1007499e-10,5.5222899e-14,2.1007499e-10,3.3716881e-14,2.1007499e-10,3.392617e-14,2.1007499e-10,3.5364281e-14,2.1007499e-10,4.2430527e-14,2.1007499e-10,5.276844e-14,2.1007499e-10,3.2106736e-14,2.1007499e-10,3.2398178e-14,2.1007499e-10,3.3803916e-14,2.1007499e-10,4.166344e-14,2.1007499e-10,5.0762126e-14,2.1007499e-10,3.054302e-14,2.1007499e-10,3.0494758e-14,2.1007499e-10,3.1878561e-14,2.1007499e-10,3.9698301e-14,2.1007499e-10,4.7963805e-14,2.1007499e-10,2.9392971e-14,2.1007499e-10,2.945643e-14,2.1007499e-10,3.0652043e-14,2.1007499e-10,3.1040999e-14,2.1007499e-10,4.5827082e-14,2.1007499e-10,2.8515617e-14,2.1007499e-10,2.8435587e-14,2.1007499e-10,2.9885302e-14,2.1007499e-10,3.6039394e-14,2.1007499e-10,4.4604262e-14,2.1007499e-10,2.7818685e-14,2.1007499e-10,2.7557365e-14,2.1007499e-10,2.88808e-14,2.1007499e-10,3.5608737e-14
