source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
20kev,20 keV,5.0,0,True,True,,73.85651291192212,2.8770392670362,0.0002069301668,7.192469326745422e-05,6
20kev,20 keV,5.0,1e12,True,True,,73.85781659293609,2.8770950850632,0.00019782110900000001,6.875723712678566e-05,6
20kev,20 keV,5.0,1e13,True,True,,73.88304686448227,2.8775163490206004,0.00020395986419999998,7.088052315303798e-05,6
20kev,20 keV,5.0,2.5e13,True,True,,73.81898747525003,2.8779466250745998,0.0002006194912,6.970924667332901e-05,6
20kev,20 keV,5.0,5e13,True,True,,73.78168929267196,2.8782357874944,0.0001986156464,6.900603740074455e-05,6
20kev,20 keV,8.0,0,True,True,,73.92668463363367,2.8640278572454,0.00013364450342,4.666312971848614e-05,6
20kev,20 keV,8.0,1e12,True,True,,73.92156940670796,2.8641013245748,0.0001339582682,4.6771483624060405e-05,6
20kev,20 keV,8.0,1e13,True,True,,73.88408625569741,2.8643414709551998,0.000134172342953,4.6842300163414614e-05,6
20kev,20 keV,8.0,2.5e13,True,True,,73.82452533867878,2.8634433052144,0.00013558294106999998,4.7349616045514206e-05,6
20kev,20 keV,8.0,5e13,True,True,,73.72851606429148,2.8595722162934,0.00013588333865,4.751876447664366e-05,6
20kev,20 keV,10.0,0,True,True,,73.84359920323044,2.828584751352,9.899362245999999e-05,3.4997580472949686e-05,6
20kev,20 keV,10.0,1e12,True,True,,73.83735682441478,2.8284226985242,0.00010005097744,3.5373417662149334e-05,6
20kev,20 keV,10.0,1e13,True,True,,73.77992120579239,2.8259897132858,0.00010162882423,3.5962206002454053e-05,6
20kev,20 keV,10.0,2.5e13,True,True,,73.69069702626882,2.8191330467321998,0.00010308057112,3.6564635088608504e-05,6
20kev,20 keV,10.0,5e13,True,True,,73.54348782795945,2.802741360528,0.00014077980199999997,5.0229323327029677e-05,6
20kev,20 keV,20.0,0,True,True,,73.92645494845534,2.5112530200992,4.50450712e-05,1.7937289010495892e-05,6
20kev,20 keV,20.0,1e12,True,True,,73.90774327550658,2.5018313428192,4.60082913e-05,1.838984527556336e-05,6
20kev,20 keV,20.0,1e13,True,True,,73.75071999248162,2.3884977280278004,5.364269869999999e-05,2.2458760613640252e-05,6
20kev,20 keV,20.0,2.5e13,True,True,,73.47758058311582,2.160592143857,5.6875444699999996e-05,2.63240079168613e-05,6
20kev,20 keV,20.0,5e13,True,True,,72.90444724309052,1.8830341012446004,4.29890254e-05,2.2829658460027996e-05,6
20kev,20 keV,30.0,0,True,True,,73.9331629150994,2.20703696275382,3.670964868e-05,1.6633001304244447e-05,6
